[2026-06-03 20:44:44,982][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 20:44:45,992][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2e0207be0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:05:16,568][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:05:16,571][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:05:16,572][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:05:17,583][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2d825c2e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:05:17,589][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2d825c1c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:05:17,589][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2d825c310>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:05:19,637][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2d8217ac0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:05:19,637][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2d825cbb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:05:19,637][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2d825cd00>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:05:23,707][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2d825ea40>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:05:23,708][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2d825e890>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:05:23,708][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2d825f3a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:05:31,770][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2981f8400>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:05:31,770][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2e0083f70>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:05:31,771][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa2981f83a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:15:31,817][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f98711d8a90>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:15:32,867][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f98711d8f10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:15:34,899][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f98711da0e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:15:38,942][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f98711d9120>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
