[2026-06-05 08:15:11,643][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:15:12,651][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1da4137280>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:15:14,699][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1e6d1e37f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:15:18,781][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1da4179180>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:15:26,791][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1da417bd30>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:18:21,589][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f13df32a770>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:18:21,594][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1e6d176920>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:18:22,597][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f13df32b880>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:18:22,597][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f13df32af80>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:18:24,611][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f13df32a9b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:18:24,612][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f13df32bc40>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:18:28,647][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f13df354ca0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:18:28,648][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f13df3541c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:18:36,658][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f13df355c30>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:18:36,658][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f13df355c60>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:25:26,847][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0f2424df30>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:25:27,868][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0f2424e0e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:25:29,871][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0f2424f250>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:25:33,876][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0f2424f5e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:25:41,885][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0f1b7ea980>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:33:59,933][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0ec80a7e80>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:33:59,936][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0ec80a7910>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:34:00,975][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0ec80a71c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:34:00,975][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0ec7a80e80>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:34:02,995][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0ec7a80760>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:34:02,995][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0ec7a806a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:34:07,001][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0ec7a81ff0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:34:07,001][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0ec7a81f90>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:34:15,037][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0ec7a82f50>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:34:15,037][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0ed2fb25c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:35:41,919][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0eb3de79a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
