[2026-06-05 19:01:34,585][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:01:34,586][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:01:34,588][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:01:35,627][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe6a40bdb10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:01:35,628][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe6a40bd750>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:01:35,628][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fea1a22f460>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:01:37,732][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe6a40bde10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:01:37,733][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe6a40bdde0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:01:37,733][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe6a40bdd80>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:01:41,740][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe684168670>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:01:41,741][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe684168610>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:01:41,741][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe6841684c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:01:49,806][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe6841695a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:01:49,807][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe6841696c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:01:49,807][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe684169720>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:07:10,032][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdc646a0fd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:07:10,037][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdc646a06a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:07:11,093][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdc646a0430>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:07:11,094][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdc646a0730>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:07:13,129][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdc646a14e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:07:13,129][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdc646a0670>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:07:17,179][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdc646a1d80>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:07:17,179][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdc646a0f10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:07:25,199][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdc646a2cb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:07:25,199][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdc646a0d90>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:11:49,885][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdc2837d270>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
