[2026-06-14 23:09:22,113][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:22,114][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/house/experiments/bsu9c10lj8ogk7r2mggx9/heartbeat
[2026-06-14 23:09:22,114][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:22,114][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:22,114][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:23,149][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb2f40f1570>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:23,149][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb2f40f1660>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:23,149][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb2f40f1450>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:23,150][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb2f40f14e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:23,159][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb2f40f1480>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/bsu9c10lj8ogk7r2mggx9/heartbeat
[2026-06-14 23:09:25,208][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb2f40f1d20>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/bsu9c10lj8ogk7r2mggx9/heartbeat
[2026-06-14 23:09:25,208][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb2f40f01f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:25,208][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb2f40f1600>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:25,208][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb2f40f1b10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:25,208][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb2f40f1ba0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:29,257][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb2f40f2ec0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/bsu9c10lj8ogk7r2mggx9/heartbeat
