[2026-06-15 13:55:32,378][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 13:55:32,379][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 13:55:32,380][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/house/experiments/l6fsk30ryvq6dptzjbg50/heartbeat
[2026-06-15 13:55:33,388][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb222ddb460>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 13:55:33,389][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb222ddb8b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 13:55:33,389][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb222ddbee0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/l6fsk30ryvq6dptzjbg50/heartbeat
[2026-06-15 13:55:35,442][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faf5e2980a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/l6fsk30ryvq6dptzjbg50/heartbeat
[2026-06-15 13:55:35,443][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb222ddb220>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 13:55:35,443][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb222ddb0a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 13:55:39,447][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faf5e2991b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/l6fsk30ryvq6dptzjbg50/heartbeat
[2026-06-15 13:55:39,448][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faf5e299210>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 13:55:39,451][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faf5e2992a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 13:55:47,479][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faf5e299420>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/l6fsk30ryvq6dptzjbg50/heartbeat
[2026-06-15 13:55:47,479][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faf5e29a260>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 13:55:47,479][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faf5e29b8b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 14:05:47,494][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa782ac9f00>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/l6fsk30ryvq6dptzjbg50/heartbeat
[2026-06-15 14:05:48,533][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa782aca0b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/l6fsk30ryvq6dptzjbg50/heartbeat
[2026-06-15 14:05:50,576][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa782acaa10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/l6fsk30ryvq6dptzjbg50/heartbeat
[2026-06-15 14:05:54,596][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa782740160>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/l6fsk30ryvq6dptzjbg50/heartbeat
