host_time_s,elapsed_s,row_index,frame_number,vicon_frame_number,vicon_time_s,publish_time_us,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw,ball_vx_mps
1784095971.657940626,0.002359390,0,20246468,20246468,67488.226666667,1784095971657880,vicon_state_data,ball,1,0,2.980052074,-0.488906757,0.860514168,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.220052903,-0.234477835,0.616227831,0.000000000,0.000000000,-0.020068942,0.999798599,
1784095971.661022425,0.005441189,1,20246469,20246469,67488.230000000,1784095971660950,vicon_state_data,ball,1,0,2.980112479,-0.489011151,0.860461569,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.220058342,-0.234418908,0.616253534,0.000000000,0.000000000,-0.019856933,0.999802832,0.018121502
1784095971.664217234,0.008635998,2,20246470,20246470,67488.233333333,1784095971664162,vicon_state_data,ball,1,0,2.980129351,-0.489039530,0.860494681,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.219997359,-0.234504636,0.616169324,0.000000000,0.000000000,-0.020189433,0.999796173,0.005061600
1784095971.667464733,0.011883497,3,20246471,20246471,67488.236666667,1784095971667403,vicon_state_data,ball,1,0,2.980033383,-0.488963848,0.860546445,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.220055901,-0.234399967,0.616270315,0.000000000,0.000000000,-0.019699128,0.999805953,-0.028790394
1784095971.670930147,0.015348911,4,20246472,20246472,67488.240000000,1784095971670864,vicon_state_data,ball,1,0,2.980079661,-0.489027619,0.860532226,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.220045263,-0.234488661,0.616253777,0.000000000,0.000000000,-0.020142761,0.999797114,0.013883401
1784095971.674506903,0.018925667,5,20246473,20246473,67488.243333333,1784095971674464,vicon_state_data,ball,1,0,2.980073596,-0.489068983,0.860510010,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.220049588,-0.234464111,0.616250639,0.000000000,0.000000000,-0.020029519,0.999799389,-0.001819500
1784095971.677615404,0.022034168,6,20246474,20246474,67488.246666667,1784095971677536,vicon_state_data,ball,1,0,2.980054119,-0.489060604,0.860547441,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.220057647,-0.234457992,0.616255284,0.000000000,0.000000000,-0.019978232,0.999800415,-0.005843099
1784095971.681006670,0.025425434,7,20246475,20246475,67488.250000000,1784095971680951,vicon_state_data,ball,1,0,2.980143620,-0.489159491,0.860473970,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.220050403,-0.234469216,0.616250749,0.000000000,0.000000000,-0.020066647,0.999798645,0.026850303
1784095971.684357166,0.028775930,8,20246476,20246476,67488.253333333,1784095971684297,vicon_state_data,ball,1,0,2.980079594,-0.489114325,0.860528742,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.220059324,-0.234442894,0.616243027,0.000000000,0.000000000,-0.019945643,0.999801066,-0.019207802
1784095971.687628508,0.032047272,9,20246477,20246477,67488.256666667,1784095971687572,vicon_state_data,ball,1,0,2.980146120,-0.489159842,0.860484187,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.220049547,-0.234388995,0.616263661,0.000000000,0.000000000,-0.019736455,0.999805217,0.019957796
