row_index,host_time_s,elapsed_s,frame_number,vicon_time_s,x_m,y_m,z_m,vx_mps,valid,occluded
0,1784097311.308911324,0.001588106,20648358,68827.860000000,2.932832932,-0.418029107,1.442659975,,1,0
1,1784097311.311880350,0.004557133,20648359,68827.863333333,2.932926233,-0.418045975,1.442647431,0.027990224,1,0
2,1784097311.315026283,0.007703066,20648360,68827.866666667,2.933021192,-0.418129446,1.442644298,0.028487827,1,0
3,1784097311.318359375,0.011036158,20648361,68827.870000000,2.933114809,-0.418186606,1.442615793,0.028084985,1,0
4,1784097311.321940660,0.014617443,20648362,68827.873333333,2.933251054,-0.418230268,1.442576050,0.040873583,1,0
5,1784097311.325455427,0.018132210,20648363,68827.876666667,2.933355458,-0.418287354,1.442555418,0.031321176,1,0
6,1784097311.328572750,0.021249533,20648364,68827.880000000,2.933466543,-0.418317237,1.442547344,0.033325314,1,0
7,1784097311.332331181,0.025007963,20648365,68827.883333333,2.933551678,-0.418383209,1.442538236,0.025540655,1,0
8,1784097311.335587502,0.028264284,20648366,68827.886666667,2.933693152,-0.418464383,1.442527369,0.042442290,1,0
9,1784097311.339400530,0.032077312,20648367,68827.890000000,2.933767266,-0.418539709,1.442525149,0.022234038,1,0
10,1784097311.342711210,0.035387993,20648368,68827.893333333,2.933904339,-0.418606346,1.442479883,0.041121913,1,0
11,1784097311.345271587,0.037948370,20648369,68827.896666667,2.933997211,-0.418696229,1.442477307,0.027861589,1,0
12,1784097311.348556042,0.041232824,20648370,68827.900000000,2.934118398,-0.418776328,1.442462108,0.036356057,1,0
13,1784097311.351803064,0.044479847,20648371,68827.903333333,2.934219499,-0.418830725,1.442470460,0.030330239,1,0
14,1784097311.355336666,0.048013449,20648372,68827.906666667,2.934317901,-0.418937373,1.442493735,0.029520845,1,0
15,1784097311.358988047,0.051664829,20648373,68827.910000000,2.934439993,-0.419043138,1.442507308,0.036627525,1,0
16,1784097311.361804247,0.054481030,20648374,68827.913333333,2.934607651,-0.419124853,1.442531428,0.050297387,1,0
17,1784097311.365167856,0.057844639,20648375,68827.916666667,2.934719307,-0.419274237,1.442565510,0.033496768,1,0
18,1784097311.368507862,0.061184645,20648376,68827.920000000,2.933973714,-0.419413878,1.442605519,-0.223677813,1,0
19,1784097311.371981859,0.064658642,20648377,68827.923333333,2.934088708,-0.419535297,1.442654338,0.034498013,1,0
20,1784097311.375683784,0.068360567,20648378,68827.926666667,2.934317307,-0.419690315,1.442706956,0.068579798,1,0
21,1784097311.378610134,0.071286917,20648379,68827.930000000,2.935509609,-0.419729585,1.442748411,0.357690472,1,0
22,1784097311.381820440,0.074497223,20648380,68827.933333333,2.935729789,-0.419881980,1.442847021,0.066054294,1,0
23,1784097311.385042191,0.077718973,20648381,68827.936666667,2.935931431,-0.420024223,1.442948991,0.060492495,1,0
24,1784097311.388673782,0.081350565,20648382,68827.940000000,2.936118724,-0.420210000,1.443073990,0.056187996,1,0
25,1784097311.392153740,0.084830523,20648383,68827.943333333,2.936310217,-0.420393350,1.443262882,0.057447899,1,0
26,1784097311.395373583,0.088050365,20648384,68827.946666667,2.936580076,-0.420529108,1.443419256,0.080957554,1,0
27,1784097311.398508310,0.091185093,20648385,68827.950000000,2.936821214,-0.420679770,1.443633059,0.072341262,1,0
28,1784097311.401727915,0.094404697,20648386,68827.953333333,2.937058154,-0.420894362,1.443844619,0.071082117,1,0
29,1784097311.405238390,0.097915173,20648387,68827.956666667,2.937309589,-0.421107259,1.444098419,0.075430409,1,0
30,1784097311.408863783,0.101540565,20648388,68827.960000000,2.937538561,-0.421308876,1.444353835,0.068691633,1,0
31,1784097311.411836624,0.104513407,20648389,68827.963333333,2.936703813,-0.421609133,1.444718153,-0.250424401,1,0
32,1784097311.415068626,0.107745409,20648390,68827.966666667,2.938132714,-0.421725098,1.444994823,0.428670448,1,0
33,1784097311.418321609,0.110998392,20648391,68827.970000000,2.938394101,-0.421981770,1.445372137,0.078416102,1,0
34,1784097311.421867609,0.114544392,20648392,68827.973333333,2.938528451,-0.422200351,1.445852682,0.040305027,1,0
35,1784097311.425609589,0.118286371,20648393,68827.976666667,2.937587220,-0.422617369,1.446389018,-0.282369245,1,0
36,1784097311.428450108,0.121126890,20648394,68827.980000000,2.938990416,-0.422735425,1.446948993,0.420958516,1,0
37,1784097311.431869745,0.124546528,20648395,68827.983333333,2.939166205,-0.422971989,1.447591450,0.052736947,1,0
38,1784097311.435090065,0.127766848,20648396,68827.986666667,2.939294356,-0.423165897,1.448264033,0.038445166,1,0
39,1784097311.438593864,0.131270647,20648397,68827.990000000,2.939335662,-0.423409620,1.449013860,0.012391821,1,0
40,1784097311.442227125,0.134903908,20648398,68827.993333333,2.939525701,-0.423625634,1.449864618,0.057011768,1,0
41,1784097311.445197105,0.137873888,20648399,68827.996666667,2.939604270,-0.423756422,1.450740754,0.023570565,1,0
42,1784097311.448485136,0.141161919,20648400,68828.000000000,2.938266367,-0.423909645,1.452627600,-0.401370905,1,0
43,1784097311.451894522,0.144571304,20648401,68828.003333333,2.938346430,-0.423990713,1.453641221,0.024019046,1,0
44,1784097311.455322742,0.147999525,20648402,68828.006666667,2.938701350,-0.424089953,1.454565335,0.106475968,1,0
45,1784097311.458961487,0.151638269,20648403,68828.010000000,2.939586664,-0.424192947,1.455293172,0.265594148,1,0
46,1784097311.461874723,0.154551506,20648404,68828.013333333,2.939709247,-0.423873517,1.456315179,0.036775020,1,0
47,1784097311.465266705,0.157943487,20648405,68828.016666667,2.939170714,-0.423733410,1.457856767,-0.161559966,1,0
48,1784097311.468570709,0.161247492,20648406,68828.020000000,2.938316863,-0.424008555,1.459743312,-0.256155459,1,0
49,1784097311.472192287,0.164869070,20648407,68828.023333333,2.938395674,-0.423982539,1.461037157,0.023643397,1,0
50,1784097311.475678444,0.168355227,20648408,68828.026666667,2.938633412,-0.422554209,1.462427813,0.071321441,1,0
51,1784097311.478805542,0.171482325,20648409,68828.030000000,2.937905880,-0.422138574,1.464192745,-0.218259657,1,0
52,1784097311.481875896,0.174552679,20648410,68828.033333333,2.937361832,-0.421591640,1.466002393,-0.163214217,1,0
53,1784097311.485243797,0.177920580,20648411,68828.036666667,2.936713368,-0.421008252,1.467886093,-0.194539329,1,0
54,1784097311.488987207,0.181663990,20648412,68828.040000000,2.935946888,-0.420290826,1.469856908,-0.229943954,1,0
55,1784097311.492302895,0.184979677,20648413,68828.043333333,2.935089235,-0.419570029,1.471851414,-0.257295939,1,0
56,1784097311.495546341,0.188223124,20648414,68828.046666667,2.934086518,-0.418761359,1.473967602,-0.300815132,1,0
57,1784097311.498534679,0.191211462,20648415,68828.050000000,2.932954046,-0.417951081,1.476176798,-0.339741529,1,0
58,1784097311.501846313,0.194523096,20648416,68828.053333333,2.931695415,-0.417077114,1.478400242,-0.377589280,1,0
59,1784097311.505495787,0.198172569,20648417,68828.056666667,2.930273523,-0.416168820,1.480758419,-0.426567709,1,0
60,1784097311.508893490,0.201570272,20648418,68828.060000000,2.928746145,-0.415165732,1.483115704,-0.458213442,1,0
61,1784097311.511977911,0.204654694,20648419,68828.063333333,2.927028503,-0.414143766,1.485543930,-0.515292385,1,0
62,1784097311.515254498,0.207931280,20648420,68828.066666667,2.925339224,-0.413418004,1.487829446,-0.506783840,1,0
63,1784097311.518496752,0.211173534,20648421,68828.070000000,2.923017879,-0.412683974,1.490669367,-0.696403502,1,0
64,1784097311.522514105,0.215190887,20648422,68828.073333333,2.920880151,-0.410835153,1.493093001,-0.641318322,1,0
65,1784097311.525708437,0.218385220,20648423,68828.076666667,2.918416320,-0.409655159,1.495701014,-0.739149352,1,0
66,1784097311.528683662,0.221360445,20648424,68828.080000000,2.915715462,-0.408477216,1.498303819,-0.810257517,1,0
67,1784097311.531883001,0.224559784,20648425,68828.083333333,2.912816436,-0.407133286,1.500942018,-0.869707844,1,0
68,1784097311.535402060,0.228078842,20648426,68828.086666667,2.909670084,-0.405761419,1.503544974,-0.943905534,1,0
69,1784097311.538709164,0.231385946,20648427,68828.090000000,2.906158220,-0.404424875,1.506215860,-1.053559285,1,0
70,1784097311.542172194,0.234848976,20648428,68828.093333333,2.902303142,-0.403029469,1.508937443,-1.156523106,1,0
71,1784097311.545244932,0.237921715,20648429,68828.096666667,2.898197092,-0.401503794,1.511623340,-1.231815249,1,0
72,1784097311.548506021,0.241182804,20648430,68828.100000000,2.893705819,-0.399981675,1.514426855,-1.347381690,1,0
73,1784097311.551874161,0.244550943,20648431,68828.103333333,2.888880459,-0.398317294,1.517166647,-1.447608217,1,0
74,1784097311.555433512,0.248110294,20648432,68828.106666667,2.883637686,-0.396692752,1.520026614,-1.572831747,1,0
75,1784097311.558921814,0.251598597,20648433,68828.110000000,2.877997165,-0.394941532,1.522952055,-1.692156333,1,0
76,1784097311.561810255,0.254487038,20648434,68828.113333333,2.871877744,-0.393224473,1.525961894,-1.835826242,1,0
77,1784097311.565049648,0.257726431,20648435,68828.116666667,2.865291469,-0.391574421,1.529143478,-1.975882420,1,0
78,1784097311.568382978,0.261059761,20648436,68828.120000000,2.858253311,-0.389848956,1.532391680,-2.111447670,1,0
79,1784097311.571917534,0.264594316,20648437,68828.123333333,2.850727296,-0.388106897,1.535643908,-2.257804307,1,0
80,1784097311.575405121,0.268081903,20648438,68828.126666667,2.842687124,-0.386542758,1.539073245,-2.412051773,1,0
81,1784097311.578478813,0.271155596,20648439,68828.130000000,2.834220806,-0.384908934,1.542477164,-2.539895432,1,0
82,1784097311.581887722,0.274564505,20648440,68828.133333333,2.825337629,-0.383245592,1.545878485,-2.664952930,1,0
83,1784097311.585307360,0.277984142,20648441,68828.136666667,2.815981714,-0.381769438,1.549375717,-2.806774580,1,0
84,1784097311.588696003,0.281372786,20648442,68828.140000000,2.806244408,-0.380199789,1.552774484,-2.921191749,1,0
85,1784097311.592248917,0.284925699,20648443,68828.143333333,2.796171255,-0.378633271,1.556113661,-3.021945764,1,0
86,1784097311.595175028,0.287851810,20648444,68828.146666667,2.785781131,-0.377198359,1.559459983,-3.117037449,1,0
87,1784097311.598515749,0.291192532,20648445,68828.150000000,2.775079166,-0.375733490,1.562748931,-3.210589285,1,0
88,1784097311.601859808,0.294536591,20648446,68828.153333333,2.764156520,-0.374240543,1.565912132,-3.276793783,1,0
89,1784097311.605652809,0.298329592,20648447,68828.156666667,2.753077613,-0.372799360,1.569043476,-3.323672215,1,0
90,1784097311.609087944,0.301764727,20648448,68828.160000000,2.741891560,-0.371334485,1.572070800,-3.355815760,1,0
91,1784097311.612059116,0.304735899,20648449,68828.163333333,2.730661447,-0.369781197,1.574984446,-3.369034137,1,0
92,1784097311.615150928,0.307827711,20648450,68828.166666667,2.719542409,-0.368208236,1.577684989,-3.335711398,1,0
93,1784097311.618462801,0.311139584,20648451,68828.170000000,2.708336068,-0.366734079,1.580385083,-3.361902078,1,0
94,1784097311.622071981,0.314748764,20648452,68828.173333333,2.697272019,-0.365169598,1.582919925,-3.319214855,1,0
95,1784097311.625599861,0.318276644,20648453,68828.176666667,2.686233762,-0.363235389,1.585069849,-3.311477147,1,0
96,1784097311.628532171,0.321208954,20648454,68828.180000000,2.675074539,-0.362116776,1.587698686,-3.347766893,1,0
97,1784097311.631770849,0.324447632,20648455,68828.183333333,2.664017337,-0.360599009,1.589968390,-3.317160631,1,0
98,1784097311.635192871,0.327869654,20648456,68828.186666667,2.652930912,-0.359095851,1.592070873,-3.325927538,1,0
99,1784097311.638733864,0.331410646,20648457,68828.190000000,2.641900445,-0.357632158,1.594118875,-3.309139966,1,0
100,1784097311.642565966,0.335242748,20648458,68828.193333333,2.630852208,-0.356098049,1.596056901,-3.314471136,1,0
101,1784097311.645391941,0.338068724,20648459,68828.196666667,2.619860472,-0.354528179,1.597804511,-3.297520660,1,0
102,1784097311.648609638,0.341286421,20648460,68828.200000000,2.606450199,-0.353853823,1.600899564,-4.023081999,1,0
103,1784097311.651874304,0.344551086,20648461,68828.203333333,2.595616292,-0.352213191,1.602559797,-3.250172213,1,0
104,1784097311.655537844,0.348214626,20648462,68828.206666667,2.584722009,-0.350594896,1.604076507,-3.268284744,1,0
105,1784097311.659088135,0.351764917,20648463,68828.210000000,2.573813420,-0.349033171,1.605496159,-3.272576697,1,0
