Connecting to 192.168.10.1:801 ...
Captured G1Pelvis template with 5 markers: G1pelvis1 G1pelvis2 G1pelvis3 G1pelvis4 G1pelvis5
Loading table calibration from deploy/mocap_bridge/calibrations/table_frame_latest.json ...
Table rectangle score=0.0000 center_raw_m=[-0.2257, 3.1389, 0.7475] x_axis_raw=[0.0331, 0.9995, 0.0000] y_axis_raw=[-0.9995, 0.0331, 0.0000]
Table-world convention: robot-side edge x=0.0000 m, far edge x=2.7400 m, expected G1Pelvis x ~= -0.4000 m
Base initial measured_world_m=[-0.7124, -0.2175, 0.8693] anchor_initial_world_m=[-0.7124, -0.2175, 0.8693] raw
Publishing on vicon_state_data via udpm://239.255.76.67:7667?ttl=255
frame=130606038 hz=1000000.0 base_valid=1 base_markers=5 base_rms_mm=0.06 base_measured_m=[-0.7124, -0.2175, 0.8693] base_world_m=[-0.7124, -0.2175, 0.8693] base_edge_error_m=-0.3124 base_quat_xyzw=[0.0000, 0.0000, 0.0001, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606069 hz=319.0 base_valid=1 base_markers=5 base_rms_mm=0.14 base_measured_m=[-0.7122, -0.2177, 0.8693] base_world_m=[-0.7122, -0.2177, 0.8693] base_edge_error_m=-0.3122 base_quat_xyzw=[0.0000, 0.0000, -0.0004, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606100 hz=309.6 base_valid=1 base_markers=5 base_rms_mm=0.16 base_measured_m=[-0.7121, -0.2180, 0.8693] base_world_m=[-0.7121, -0.2180, 0.8693] base_edge_error_m=-0.3121 base_quat_xyzw=[0.0000, 0.0000, -0.0002, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606130 hz=306.1 base_valid=1 base_markers=5 base_rms_mm=0.25 base_measured_m=[-0.7120, -0.2182, 0.8694] base_world_m=[-0.7120, -0.2182, 0.8694] base_edge_error_m=-0.3120 base_quat_xyzw=[0.0000, 0.0000, -0.0008, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606161 hz=304.5 base_valid=1 base_markers=5 base_rms_mm=0.17 base_measured_m=[-0.7120, -0.2182, 0.8693] base_world_m=[-0.7120, -0.2182, 0.8693] base_edge_error_m=-0.3120 base_quat_xyzw=[0.0000, 0.0000, -0.0005, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606517 hz=90.7 base_valid=1 base_markers=5 base_rms_mm=0.10 base_measured_m=[-0.7134, -0.2166, 0.8693] base_world_m=[-0.7134, -0.2166, 0.8693] base_edge_error_m=-0.3134 base_quat_xyzw=[0.0000, 0.0000, -0.0015, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606549 hz=104.1 base_valid=1 base_markers=5 base_rms_mm=0.10 base_measured_m=[-0.7134, -0.2166, 0.8692] base_world_m=[-0.7134, -0.2166, 0.8692] base_edge_error_m=-0.3134 base_quat_xyzw=[0.0000, 0.0000, -0.0014, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606580 hz=115.3 base_valid=1 base_markers=5 base_rms_mm=0.12 base_measured_m=[-0.7133, -0.2166, 0.8693] base_world_m=[-0.7133, -0.2166, 0.8693] base_edge_error_m=-0.3133 base_quat_xyzw=[0.0000, 0.0000, -0.0016, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606610 hz=125.0 base_valid=1 base_markers=5 base_rms_mm=0.11 base_measured_m=[-0.7132, -0.2166, 0.8693] base_world_m=[-0.7132, -0.2166, 0.8693] base_edge_error_m=-0.3132 base_quat_xyzw=[0.0000, 0.0000, -0.0015, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606641 hz=134.0 base_valid=1 base_markers=5 base_rms_mm=0.12 base_measured_m=[-0.7131, -0.2167, 0.8693] base_world_m=[-0.7131, -0.2167, 0.8693] base_edge_error_m=-0.3131 base_quat_xyzw=[0.0000, 0.0000, -0.0014, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606671 hz=141.9 base_valid=1 base_markers=5 base_rms_mm=0.13 base_measured_m=[-0.7129, -0.2169, 0.8693] base_world_m=[-0.7129, -0.2169, 0.8693] base_edge_error_m=-0.3129 base_quat_xyzw=[0.0000, 0.0000, -0.0015, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
