seg,source,n,duration_s,start_t,end_t,start_x,end_x,start_y,end_y,start_z,end_z,min_z,max_z,max_dt_ms,max_step_cm,max_speed_mps,median_speed_mps,crosses_x0,incoming_x_decreasing,near_table,first_source_row,last_source_row
1,session_008_first30_incoming.csv,246,1.0983905790000001,30.666956663,31.765347242,2.549845029,-0.224238682,-0.024070042,-0.248574659,1.130537334,0.520496038,0.520496038,1.23500953,82.45706599999991,17.712869456331088,846.0495676205161,4.538115194586416,True,True,True,148,393
2,session_008_first30_incoming.csv,184,1.0724918840000015,46.298849583,47.371341467,2.558529215,-0.574880453,-0.027045427,-0.256024355,1.341323867,1.416931948,0.787029682,1.737911903,88.11950700000182,23.51252927927164,907.7863155338833,6.685095925730697,True,True,True,404,587
3,session_008_first30_incoming.csv,225,1.1827638150000013,62.516820908,63.699584723,2.469990931,-0.668347966,0.003515034,-0.334793078,1.239152677,0.670046185,0.670046185,1.376676481,84.65242399999795,23.626242258914107,580.0133357109003,5.084791512726831,True,True,True,937,1161
4,session_008_first30_incoming.csv,176,1.0133690830000006,75.162814856,76.176183939,2.632577813,-0.699123031,0.007741374,-0.118245016,1.115596844,1.061541896,0.768654525,1.350920931,80.02471899999364,22.388075682221213,900.3126907864171,5.738133836139806,True,True,True,1173,1348
5,session_008_first30_incoming.csv,203,1.0818192960000061,93.434870005,94.516689301,2.551078692,-0.133756746,-0.018442687,0.066828128,1.149456889,0.636812326,0.636812326,1.249240636,86.64488799999503,20.14611066108229,582.9734578190366,5.1829534199978315,True,True,True,1371,1573
6,session_008_first30_incoming.csv,269,1.3414292329999995,109.787322283,111.128751516,2.501827849,-0.791598291,0.062943219,0.18999066,1.287381688,0.762397289,0.762397289,1.617864988,85.65211300000897,22.411940916233565,477.6603006752258,5.092538323327589,True,True,True,1724,1992
7,session_008_first30_incoming.csv,236,1.1468653680000216,141.259159803,142.406025171,2.808272458,-0.789852922,-0.0144636,0.292994498,1.169228665,1.37685454,0.771007652,1.678455798,88.15288600001736,25.684137083957093,464.6304203955312,4.976587525963337,True,True,True,3242,3477
8,session_008_first30_incoming.csv,278,1.3272430890000066,162.447155476,163.774398565,2.588834381,-0.797834183,0.012582074,0.090327238,1.224959799,1.064637637,0.819261588,1.663124779,87.48626700000273,21.285888596422012,138.23837185758072,4.215175294883009,True,True,True,3629,3906
9,session_008_first30_incoming.csv,299,1.4249660960000199,179.915681601,181.340647697,2.851422376,-0.478079058,-0.031871022,-0.115976488,1.20788653,0.536409615,0.536409615,1.627761461,88.32240099999922,21.107873135113433,424.5082850663163,4.619436685630024,True,True,True,3955,4253
10,session_008_first30_incoming.csv,278,1.2804527289999896,194.989805698,196.270258427,2.888668778,-0.753642103,-0.034292866,0.506566836,1.1817496,0.528945933,0.528945933,1.412339321,88.38438999998743,20.660657883785642,379.5181640069144,4.6051941768565685,True,True,True,4316,4593
11,session_008_first30_incoming.csv,279,1.3367359629999953,212.583821774,213.920557737,2.734291725,-0.324884079,-0.015550578,0.355262982,1.196940094,0.706129603,0.706129603,1.561442524,87.93377800000712,23.049854177400526,308.6155167518908,4.1639089497423445,True,True,True,4874,5152
12,session_008_first30_incoming.csv,276,1.2996237280000003,240.013301849,241.312925577,2.88011696,-0.585168788,-0.040081172,-0.034727656,1.179194936,0.683947327,0.683947327,1.439047096,87.09716800001388,20.698946654386674,348.525202926359,4.084329176988758,True,True,True,5704,5979
