host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw,clean_segment_id
1782463470.220836401,12.385533571,3538,vicon_state_data,ball,1,0,0.052831348,0.343469758,1.059090924,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863626996,-0.385986604,0.820561555,0.000000000,0.000000000,0.020025830,0.999799463,4
1782463470.223408222,12.388105392,3539,vicon_state_data,ball,1,0,0.067360743,0.339688613,1.052381079,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863637637,-0.386036529,0.820543394,0.000000000,0.000000000,0.019958637,0.999800807,4
1782463470.226944685,12.391641855,3540,vicon_state_data,ball,1,0,0.082018853,0.335923289,1.045588785,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863706721,-0.386081385,0.820650345,0.000000000,0.000000000,0.020160773,0.999796751,4
1782463470.230163574,12.394860744,3541,vicon_state_data,ball,1,0,0.096631121,0.332266415,1.038727811,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863676426,-0.386123210,0.820552730,0.000000000,0.000000000,0.019870594,0.999802560,4
1782463470.233447075,12.398144245,3542,vicon_state_data,ball,1,0,0.111360881,0.328436873,1.031703812,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863691842,-0.386161002,0.820532764,0.000000000,0.000000000,0.019820604,0.999803553,4
1782463470.236728430,12.401425600,3543,vicon_state_data,ball,1,0,0.126012957,0.324646291,1.024613445,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863453392,-0.386343709,0.819993683,0.000000000,0.000000000,0.017282081,0.999850654,4
1782463470.239923239,12.404620409,3544,vicon_state_data,ball,1,0,0.140648702,0.321001237,1.017443139,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863468470,-0.386378326,0.819969720,0.000000000,0.000000000,0.017263482,0.999850975,4
1782463470.243510723,12.408207893,3545,vicon_state_data,ball,1,0,0.155309917,0.317092084,1.009836738,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863467545,-0.386438632,0.819949549,0.000000000,0.000000000,0.017080265,0.999854122,4
1782463470.246689558,12.411386728,3546,vicon_state_data,ball,1,0,0.170009000,0.312737816,1.002100821,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863497874,-0.386456118,0.819989429,0.000000000,0.000000000,0.017124395,0.999853367,4
1782463470.249963760,12.414660931,3547,vicon_state_data,ball,1,0,0.184384245,0.308976560,0.994259297,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863756336,-0.386349602,0.820530014,0.000000000,0.000000000,0.019692480,0.999806084,4
1782463470.253425360,12.418122530,3548,vicon_state_data,ball,1,0,0.198592728,0.305209485,0.986094269,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863765665,-0.386436770,0.820527320,0.000000000,0.000000000,0.019364632,0.999812488,4
1782463470.256673336,12.421370506,3549,vicon_state_data,ball,1,0,0.212956708,0.301324325,0.978276187,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863559504,-0.386594488,0.820012583,0.000000000,0.000000000,0.017089323,0.999853967,4
