host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw
1782474742.746011972,31.651259184,0,vicon_state_data,ball,1,0,0.589639944,1.243512150,1.061481650,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822237856,-0.459897219,0.820453826,0.000000000,0.000000000,-0.038386639,0.999262961
1782474742.746119022,31.651366234,1,vicon_state_data,ball,1,0,0.591223778,1.247556871,1.058801173,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822225108,-0.459887505,0.820459373,0.000000000,0.000000000,-0.038400246,0.999262439
1782474742.806164503,31.711411715,2,vicon_state_data,ball,1,0,0.611963154,1.251258174,1.057915719,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822237040,-0.459891462,0.820466125,0.000000000,0.000000000,-0.038476072,0.999259522
1782474742.806382895,31.711630106,3,vicon_state_data,ball,1,0,0.619424991,1.254339831,1.057001524,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822248047,-0.459855494,0.820518100,0.000000000,0.000000000,-0.038206552,0.999269863
1782474742.806474447,31.711721659,4,vicon_state_data,ball,1,0,0.623211221,1.255857479,1.056652265,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822237641,-0.459844599,0.820481586,0.000000000,0.000000000,-0.038280956,0.999267016
1782474742.806549788,31.711796999,5,vicon_state_data,ball,1,0,0.626954192,1.257445149,1.056304797,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822241784,-0.459840282,0.820488484,0.000000000,0.000000000,-0.038256841,0.999267939
1782474742.806627035,31.711874247,6,vicon_state_data,ball,1,0,0.630717151,1.258998310,1.055892483,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822242065,-0.459831169,0.820487972,0.000000000,0.000000000,-0.038338909,0.999264794
1782474742.806697130,31.711944342,7,vicon_state_data,ball,1,0,0.634426951,1.260615441,1.055548922,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822242991,-0.459828869,0.820460666,0.000000000,0.000000000,-0.038316651,0.999265647
1782474742.806766272,31.712013483,8,vicon_state_data,ball,1,0,0.638234743,1.262286685,1.055270112,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822248396,-0.459840460,0.820465399,0.000000000,0.000000000,-0.038382170,0.999263133
1782474742.806836843,31.712084055,9,vicon_state_data,ball,1,0,0.641932568,1.263896114,1.054874125,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822244231,-0.459824214,0.820457418,0.000000000,0.000000000,-0.038385158,0.999263018
1782474742.806910753,31.712157965,10,vicon_state_data,ball,1,0,0.645638984,1.265691776,1.054628549,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822238402,-0.459815088,0.820461614,0.000000000,0.000000000,-0.038420790,0.999261649
