host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw,clean_segment_id
1782478691.682527065,29.818423033,113,vicon_state_data,ball,1,0,2.681499383,-0.056876189,1.108856139,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821968540,-0.459791104,0.820686196,0.000000000,0.000000000,-0.035752474,0.999360676,3
1782478691.684999704,29.820895672,114,vicon_state_data,ball,1,0,2.680568162,-0.058677411,1.104472589,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821964603,-0.459795110,0.820665448,0.000000000,0.000000000,-0.035714561,0.999362032,3
1782478691.687293291,29.823189259,115,vicon_state_data,ball,1,0,2.680474503,-0.058261559,1.104293277,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821954954,-0.459743004,0.820700378,0.000000000,0.000000000,-0.035349338,0.999375017,3
1782478691.761651516,29.897547483,116,vicon_state_data,ball,1,0,2.680070390,-0.053817228,1.102348309,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821966941,-0.459842204,0.820676097,0.000000000,0.000000000,-0.035657772,0.999364059,3
1782478691.764115810,29.900011778,117,vicon_state_data,ball,1,0,2.680059631,-0.053414317,1.102149050,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821977145,-0.459854211,0.820676526,0.000000000,0.000000000,-0.035606799,0.999365877,3
1782478691.766455412,29.902351379,118,vicon_state_data,ball,1,0,2.680234845,-0.052025570,1.101697438,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821960041,-0.459781716,0.820702782,0.000000000,0.000000000,-0.035394694,0.999373412,3
1782478691.768793583,29.904689550,119,vicon_state_data,ball,1,0,2.680517794,-0.050642358,1.101275308,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821959452,-0.459771800,0.820716443,0.000000000,0.000000000,-0.035414269,0.999372718,3
1782478691.771122217,29.907018185,120,vicon_state_data,ball,1,0,2.680639381,-0.050239197,1.101120810,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821965294,-0.459798575,0.820723302,0.000000000,0.000000000,-0.035312222,0.999376329,3
1782478691.773450136,29.909346104,121,vicon_state_data,ball,1,0,2.681075284,-0.048974718,1.100771918,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821970939,-0.459848041,0.820660819,0.000000000,0.000000000,-0.035712578,0.999362102,3
1782478691.848189592,29.984085560,122,vicon_state_data,ball,1,0,2.684050254,-0.042221792,1.099458914,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821982146,-0.459904309,0.820668171,0.000000000,0.000000000,-0.035606506,0.999365887,3
1782478691.850637913,29.986533880,123,vicon_state_data,ball,1,0,2.684296968,-0.041552539,1.098708356,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821975887,-0.459912244,0.820670102,0.000000000,0.000000000,-0.035681619,0.999363208,3
1782478691.852951527,29.988847494,124,vicon_state_data,ball,1,0,2.684762269,-0.040958550,1.099075998,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821978080,-0.459932321,0.820651964,0.000000000,0.000000000,-0.035702629,0.999362458,3
1782478691.855256796,29.991152763,125,vicon_state_data,ball,1,0,2.685073495,-0.041383519,1.097646274,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821978301,-0.459877837,0.820714436,0.000000000,0.000000000,-0.035351830,0.999374929,3
1782478691.857509136,29.993405104,126,vicon_state_data,ball,1,0,2.685287135,-0.040074906,1.098895093,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821977891,-0.459908548,0.820725964,0.000000000,0.000000000,-0.035318032,0.999376124,3
1782478691.859799385,29.995695353,127,vicon_state_data,ball,1,0,2.685546762,-0.039571731,1.098816325,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821986820,-0.459950251,0.820679305,0.000000000,0.000000000,-0.035693448,0.999362786,3
1782478691.860976696,29.996872663,128,vicon_state_data,ball,1,0,2.685810426,-0.039173156,1.098684932,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821976007,-0.459944082,0.820692005,0.000000000,0.000000000,-0.035797360,0.999359069,3
1782478691.862173080,29.998069048,129,vicon_state_data,ball,1,0,2.686092181,-0.038756936,1.098542352,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821982020,-0.459887217,0.820731146,0.000000000,0.000000000,-0.035276412,0.999377594,3
1782478691.863346100,29.999242067,130,vicon_state_data,ball,1,0,2.686388998,-0.038373376,1.098375424,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821990828,-0.459956220,0.820673761,0.000000000,0.000000000,-0.035766932,0.999360159,3
1782478691.864520788,30.000416756,131,vicon_state_data,ball,1,0,2.690647033,-0.032288869,1.096020482,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821994480,-0.459899931,0.820727426,0.000000000,0.000000000,-0.035236941,0.999378986,3
1782478691.865785360,30.001681328,132,vicon_state_data,ball,1,0,2.691052869,-0.031277846,1.095433875,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822003696,-0.459902407,0.820735796,0.000000000,0.000000000,-0.035275500,0.999377626,3
1782478691.867267370,30.003163338,133,vicon_state_data,ball,1,0,2.691456541,-0.030772177,1.095400544,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822000650,-0.459953821,0.820660930,0.000000000,0.000000000,-0.035645692,0.999364490,3
1782478691.868734360,30.004630327,134,vicon_state_data,ball,1,0,2.691904536,-0.030446064,1.095148443,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822020198,-0.459974189,0.820701437,0.000000000,0.000000000,-0.035552112,0.999367824,3
1782478691.870187759,30.006083727,135,vicon_state_data,ball,1,0,2.692331518,-0.030593036,1.095153668,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822015149,-0.459946221,0.820715910,0.000000000,0.000000000,-0.035645103,0.999364511,3
