host_time_s,elapsed_s,row_index,frame_number,vicon_frame_number,vicon_time_s,publish_time_us,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw
1782488695.082653284,0.002925873,0,64025087,64025087,213416.956666667,1782488695082602,vicon_state_data,ball,1,0,-0.756075377,-0.432316599,0.839380279,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821942291,-0.460310812,0.819489080,0.000000000,0.000000000,0.000000000,1.000000000
1782488695.086261034,0.006533623,1,64025088,64025088,213416.960000000,1782488695086186,vicon_state_data,ball,1,0,-0.756117420,-0.432263490,0.839425896,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821942291,-0.460310812,0.819489080,0.000000000,0.000000000,0.000000000,1.000000000
1782488695.089413404,0.009685993,2,64025089,64025089,213416.963333333,1782488695089361,vicon_state_data,ball,1,0,-0.756104513,-0.432239825,0.839429826,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821942291,-0.460310812,0.819489080,0.000000000,0.000000000,0.000000000,1.000000000
1782488695.092857838,0.013130426,3,64025090,64025090,213416.966666667,1782488695092771,vicon_state_data,ball,1,0,-0.756137332,-0.432253229,0.839479882,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821942291,-0.460310812,0.819489080,0.000000000,0.000000000,0.000000000,1.000000000
1782488695.095931053,0.016203642,4,64025091,64025091,213416.970000000,1782488695095859,vicon_state_data,ball,1,0,-0.756041957,-0.432374742,0.839388075,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821942291,-0.460310812,0.819489080,0.000000000,0.000000000,0.000000000,1.000000000
1782488695.099850416,0.020123005,5,64025092,64025092,213416.973333333,1782488695099791,vicon_state_data,ball,1,0,-0.756131757,-0.432218699,0.839436042,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821942291,-0.460310812,0.819489080,0.000000000,0.000000000,0.000000000,1.000000000
1782488695.102697611,0.022970200,6,64025093,64025093,213416.976666667,1782488695102627,vicon_state_data,ball,1,0,-0.756072054,-0.432344280,0.839420095,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821942291,-0.460310812,0.819489080,0.000000000,0.000000000,0.000000000,1.000000000
1782488695.105923414,0.026196003,7,64025094,64025094,213416.980000000,1782488695105892,vicon_state_data,ball,1,0,-0.756073545,-0.432283417,0.839382616,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821942291,-0.460310812,0.819489080,0.000000000,0.000000000,0.000000000,1.000000000
1782488695.109606981,0.029879570,8,64025095,64025095,213416.983333333,1782488695109540,vicon_state_data,ball,1,0,-0.756136116,-0.432293169,0.839483037,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821942291,-0.460310812,0.819489080,0.000000000,0.000000000,0.000000000,1.000000000
1782488695.112750769,0.033023357,9,64025096,64025096,213416.986666667,1782488695112703,vicon_state_data,ball,1,0,-0.756081625,-0.432327044,0.839421362,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821942291,-0.460310812,0.819489080,0.000000000,0.000000000,0.000000000,1.000000000
