seg,n,dur,frame0,frame1,frame_gap_max,x0,x1,y0,y1,z0,z1,minx,maxx,minz,maxz,cross_x0,incoming,dt_med_ms,dt_max_ms,max_step_cm,max_speed,med_speed,candidate
1,607,2.726666667003883,64103326,64104144,15,2.973130484,-0.79492063,-0.143371603,-0.815748274,1.158364377,0.704828343,-0.79492063,2.973130484,0.704828343,1.381390452,True,True,3.33333300659433,49.99999998835847,19.09370272796061,5.269310786475882,0.33290284789836955,True
2,440,2.153333333990304,64108147,64108793,15,2.856102888,-0.768830111,-0.071057399,0.055102501,1.102161337,0.950465639,-0.768830111,2.856102888,0.767315235,1.55455744,True,True,3.33333300659433,50.0000000174623,20.797087218525824,5.132866098789124,2.446742755220599,True
3,22,0.15000000002328306,64200277,64200322,14,2.016871762,2.218811093,1.310503599,1.240871995,1.147763724,1.103926713,2.016871762,2.218811093,1.103926713,1.147763724,False,False,3.33333300659433,46.6666659922339,6.774424879886859,1.9791945565331959,1.451662495241086,False
4,8,0.029999999998835847,64200887,64200896,2,2.988615396,2.984970343,0.026500847,0.034670291,1.071394595,1.073985364,2.98362562,2.988615396,1.071114038,1.074075674,False,True,3.3333339961245656,6.666667002718896,0.26437681954415826,0.7931303009285319,0.40870596658658803,False
5,556,2.6000000000058208,64201010,64201790,15,2.866687728,-0.579827991,0.005434705,0.110039851,1.164730113,0.520946369,-0.579827991,2.866687728,0.520946369,1.389455173,True,True,3.33333300659433,50.0000000174623,18.33339573141139,4.523901189918998,1.9632287578425651,True
6,45,0.40000000002328306,64204570,64204690,20,1.639244641,2.216771219,1.307106937,1.156483014,1.128774141,1.097181905,1.639244641,2.216771219,1.085841889,1.146758952,False,False,3.33333300659433,66.66666700039059,10.560382413732269,6.415471868617251,1.5744314703119577,False
7,494,2.266666667012032,64205461,64206141,15,2.793830377,-0.244928356,-0.013571548,-0.077593718,1.085104055,0.594802372,-0.244928356,2.793830377,0.594802372,1.369638361,True,True,3.33333300659433,49.99999998835847,15.409079033124625,4.444004345242003,2.1514793922039503,True
8,445,2.063333333004266,64209774,64210393,15,2.798994727,-0.784547249,-0.262292781,0.693858723,1.142443183,0.762251101,-0.784547249,2.855100252,0.762251101,1.509663548,True,True,3.33333300659433,50.0000000174623,20.626946783416805,4.875583892064581,2.6530187807690693,True
9,378,1.8599999999860302,64214507,64215065,15,2.899977095,-0.791298642,-0.013747391,0.851270364,1.158219459,0.967781425,-0.791298642,2.899977095,0.764794923,1.272997587,True,True,3.33333300659433,50.0000000174623,21.688737617721028,5.53258325314468,3.3133642766814537,True
10,445,2.2933333329856396,64219275,64219963,43,2.975006474,-0.756796226,0.041902958,-0.278358235,1.139896393,1.182222043,-0.756796226,2.975006474,0.770160186,1.474276303,True,True,3.33333300659433,143.33333398099057,20.5591046149248,5.1868456694876635,2.5933540595512743,True
11,3,0.01666666698292829,64222353,64222358,3,-0.231291422,-0.202403754,1.398807312,1.398436259,1.136597591,1.135080327,-0.231291422,-0.202403754,1.135080327,1.136597591,False,False,8.333333491464145,9.999999980209395,1.7476875085635473,1.7476875120223268,1.732996684348341,False
12,568,2.5666666660108604,64223465,64224235,16,2.785528387,-0.182710808,-0.168171538,0.564980642,1.134743822,0.510265504,-0.182710808,2.831581572,0.510265504,1.364099917,True,True,3.33333300659433,53.3333329949528,16.301197413525863,4.365827026687998,2.036176608481509,True
13,512,2.0966666669992264,64227957,64228586,14,2.898013631,-0.712842879,-0.128826613,0.341774618,1.150706209,1.306860561,-0.712842879,2.898013631,0.768146825,1.618411689,True,True,3.33333300659433,46.66666701086797,17.348268686913805,5.130686263559558,2.266677430775618,True
14,7,0.023333333985647187,64232692,64232699,2,2.929282081,2.922735647,-0.107954133,-0.113911645,1.109356608,1.111553555,2.922735647,2.929282081,1.109356608,1.111553555,False,True,3.333333501359448,6.666667002718896,0.2456160966257179,0.6198060510031849,0.4115889601826663,False
15,548,2.4100000000034925,64232798,64233521,15,2.814928923,-0.583449558,-0.117615689,-0.02240173,1.185140046,0.516282477,-0.583449558,2.823606896,0.516282477,1.4552963,True,True,3.33333300659433,50.0000000174623,16.396421340569457,4.316067090325534,2.333541703337215,True
16,518,2.5433333340042736,64237243,64238006,68,2.883332977,-0.776414555,0.085257039,-0.124248756,1.148822039,0.512420165,-0.776414555,2.883332977,0.512420165,1.355091791,True,True,3.33333300659433,226.6666660143528,15.59271642323836,4.6245623684544706,2.6356303126001013,True
