Connecting to 192.168.10.1:801 ...
Waiting for at least 3 visible G1 Pelvis markers; currently 0
Captured G1 Pelvis template with 5 markers: pelvis1 pelvis2 pelvis3 pelvis4 pelvis5
Loading table calibration from deploy/mocap_bridge/calibrations/table_frame_latest.json ...
Table rectangle score=0.0000 center_raw_m=[-0.2257, 3.1388, 0.7482] x_axis_raw=[0.0322, 0.9995, 0.0000] y_axis_raw=[-0.9995, 0.0322, 0.0000]
Table-world convention: robot-side edge x=0.0000 m, far edge x=2.7400 m, expected G1 Pelvis x ~= -0.4000 m
Base initial measured_world_m=[-0.6070, -0.2062, 0.7279] anchor_initial_world_m=[-0.6070, -0.2062, 0.7279] raw
Monitoring only on vicon_state_data via udpm://239.255.76.67:7667?ttl=255
frame=447720 hz=1000000.0 base_valid=1 base_markers=5 base_rms_mm=0.11 base_measured_m=[-0.6070, -0.2062, 0.7279] base_world_m=[-0.6070, -0.2062, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0003, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=447751 hz=315.9 base_valid=1 base_markers=5 base_rms_mm=0.14 base_measured_m=[-0.6070, -0.2063, 0.7280] base_world_m=[-0.6070, -0.2063, 0.7280] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0004, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=447781 hz=307.6 base_valid=1 base_markers=5 base_rms_mm=0.17 base_measured_m=[-0.6070, -0.2063, 0.7280] base_world_m=[-0.6070, -0.2063, 0.7280] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0003, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=447812 hz=305.0 base_valid=1 base_markers=5 base_rms_mm=0.20 base_measured_m=[-0.6070, -0.2063, 0.7279] base_world_m=[-0.6070, -0.2063, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0003, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=447843 hz=303.9 base_valid=1 base_markers=5 base_rms_mm=0.12 base_measured_m=[-0.6070, -0.2062, 0.7280] base_world_m=[-0.6070, -0.2062, 0.7280] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0004, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=447873 hz=303.1 base_valid=1 base_markers=5 base_rms_mm=1.40 base_measured_m=[-0.6071, -0.2067, 0.7272] base_world_m=[-0.6071, -0.2067, 0.7272] base_edge_error_m=-0.2071 base_quat_xyzw=[0.0000, 0.0000, 0.0040, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=447903 hz=302.6 base_valid=1 base_markers=5 base_rms_mm=0.18 base_measured_m=[-0.6070, -0.2063, 0.7279] base_world_m=[-0.6070, -0.2063, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0003, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=447934 hz=302.3 base_valid=1 base_markers=5 base_rms_mm=0.14 base_measured_m=[-0.6070, -0.2062, 0.7279] base_world_m=[-0.6070, -0.2062, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0003, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=447964 hz=302.0 base_valid=1 base_markers=5 base_rms_mm=1.37 base_measured_m=[-0.6071, -0.2067, 0.7272] base_world_m=[-0.6071, -0.2067, 0.7272] base_edge_error_m=-0.2071 base_quat_xyzw=[0.0000, 0.0000, 0.0038, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=447994 hz=301.7 base_valid=1 base_markers=5 base_rms_mm=0.12 base_measured_m=[-0.6070, -0.2063, 0.7280] base_world_m=[-0.6070, -0.2063, 0.7280] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0003, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448025 hz=301.6 base_valid=1 base_markers=5 base_rms_mm=1.41 base_measured_m=[-0.6071, -0.2067, 0.7272] base_world_m=[-0.6071, -0.2067, 0.7272] base_edge_error_m=-0.2071 base_quat_xyzw=[0.0000, 0.0000, 0.0037, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448055 hz=301.4 base_valid=1 base_markers=5 base_rms_mm=0.27 base_measured_m=[-0.6070, -0.2062, 0.7279] base_world_m=[-0.6070, -0.2062, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0005, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448086 hz=301.3 base_valid=1 base_markers=5 base_rms_mm=0.02 base_measured_m=[-0.6070, -0.2062, 0.7279] base_world_m=[-0.6070, -0.2062, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0001, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448117 hz=301.2 base_valid=1 base_markers=5 base_rms_mm=0.20 base_measured_m=[-0.6070, -0.2063, 0.7279] base_world_m=[-0.6070, -0.2063, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0005, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448147 hz=301.1 base_valid=1 base_markers=5 base_rms_mm=0.14 base_measured_m=[-0.6070, -0.2063, 0.7279] base_world_m=[-0.6070, -0.2063, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0002, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448178 hz=301.1 base_valid=1 base_markers=5 base_rms_mm=0.03 base_measured_m=[-0.6070, -0.2062, 0.7279] base_world_m=[-0.6070, -0.2062, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0001, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448208 hz=301.0 base_valid=1 base_markers=5 base_rms_mm=0.11 base_measured_m=[-0.6070, -0.2062, 0.7280] base_world_m=[-0.6070, -0.2062, 0.7280] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0003, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448239 hz=301.0 base_valid=1 base_markers=5 base_rms_mm=0.14 base_measured_m=[-0.6070, -0.2063, 0.7280] base_world_m=[-0.6070, -0.2063, 0.7280] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0002, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448269 hz=300.9 base_valid=1 base_markers=5 base_rms_mm=0.13 base_measured_m=[-0.6070, -0.2063, 0.7279] base_world_m=[-0.6070, -0.2063, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0001, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448299 hz=300.8 base_valid=1 base_markers=5 base_rms_mm=1.41 base_measured_m=[-0.6071, -0.2067, 0.7273] base_world_m=[-0.6071, -0.2067, 0.7273] base_edge_error_m=-0.2071 base_quat_xyzw=[0.0000, 0.0000, 0.0040, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
