clip_id,stroke,source_name,source_path,start,end,duration,output_name,output_path,frames,fps,note,created_at
1,backhand,backhand.mp4,data/hitter_captures/20260806_mqy_capture/backhand.mp4,0.000,1.880,1.880,backhand_manual_001_backhand_0.000_1.880_50fps.mp4,data/hitter_captures/20260806_mqy_capture/manual_clips_review/backhand/backhand_manual_001_backhand_0.000_1.880_50fps.mp4,94,50.000,,2026-08-06 15:44:55
2,backhand,backhand.mp4,data/hitter_captures/20260806_mqy_capture/backhand.mp4,0.500,2.380,1.880,backhand_manual_002_backhand_0.500_2.380_50fps.mp4,data/hitter_captures/20260806_mqy_capture/manual_clips_review/backhand/backhand_manual_002_backhand_0.500_2.380_50fps.mp4,94,50.000,,2026-08-06 15:52:31
3,backhand,backhand.mp4,data/hitter_captures/20260806_mqy_capture/backhand.mp4,2.300,4.180,1.880,backhand_manual_003_backhand_2.300_4.180_50fps.mp4,data/hitter_captures/20260806_mqy_capture/manual_clips_review/backhand/backhand_manual_003_backhand_2.300_4.180_50fps.mp4,94,50.000,,2026-08-06 15:53:48
4,backhand,backhand.mp4,data/hitter_captures/20260806_mqy_capture/backhand.mp4,2.300,4.300,2.000,backhand_manual_004_backhand_2.300_4.300_50fps.mp4,data/hitter_captures/20260806_mqy_capture/manual_clips_review/backhand/backhand_manual_004_backhand_2.300_4.300_50fps.mp4,100,50.000,,2026-08-06 15:54:14
5,backhand,backhand.mp4,data/hitter_captures/20260806_mqy_capture/backhand.mp4,4.350,6.230,1.880,backhand_manual_005_backhand_4.350_6.230_50fps.mp4,data/hitter_captures/20260806_mqy_capture/manual_clips_review/backhand/backhand_manual_005_backhand_4.350_6.230_50fps.mp4,94,50.000,,2026-08-06 15:55:03
6,backhand,forehand.mp4,data/hitter_captures/20260806_mqy_capture/forehand.mp4,0.500,2.380,1.880,backhand_manual_006_forehand_0.500_2.380_50fps.mp4,data/hitter_captures/20260806_mqy_capture/manual_clips_review/backhand/backhand_manual_006_forehand_0.500_2.380_50fps.mp4,94,50.000,,2026-08-06 15:55:48
7,forehand,forehand.mp4,data/hitter_captures/20260806_mqy_capture/forehand.mp4,0.500,2.380,1.880,forehand_manual_007_forehand_0.500_2.380_50fps.mp4,data/hitter_captures/20260806_mqy_capture/manual_clips_review/forehand/forehand_manual_007_forehand_0.500_2.380_50fps.mp4,94,50.000,,2026-08-06 15:56:04
8,forehand,forehand.mp4,data/hitter_captures/20260806_mqy_capture/forehand.mp4,2.300,4.300,2.000,forehand_manual_008_forehand_2.300_4.300_50fps.mp4,data/hitter_captures/20260806_mqy_capture/manual_clips_review/forehand/forehand_manual_008_forehand_2.300_4.300_50fps.mp4,100,50.000,,2026-08-06 15:56:36
9,forehand,forehand.mp4,data/hitter_captures/20260806_mqy_capture/forehand.mp4,4.400,6.280,1.880,forehand_manual_009_forehand_4.400_6.280_50fps.mp4,data/hitter_captures/20260806_mqy_capture/manual_clips_review/forehand/forehand_manual_009_forehand_4.400_6.280_50fps.mp4,94,50.000,,2026-08-06 15:57:17
10,forehand,forehand.mp4,data/hitter_captures/20260806_mqy_capture/forehand.mp4,0.000,1.880,1.880,forehand_manual_010_forehand_0.000_1.880_50fps.mp4,data/hitter_captures/20260806_mqy_capture/manual_clips_review/forehand/forehand_manual_010_forehand_0.000_1.880_50fps.mp4,94,50.000,,2026-08-06 16:01:43
11,backhand,backhand.mp4,data/hitter_captures/20260806_mqy_capture/backhand.mp4,0.000,1.880,1.880,backhand_manual_011_backhand_0.000_1.880_50fps.mp4,data/hitter_captures/20260806_mqy_capture/manual_clips_review/backhand/backhand_manual_011_backhand_0.000_1.880_50fps.mp4,94,50.000,,2026-08-06 16:04:50
