aligned_peak_frame,aligned_peak_speed_mps,applied_shift_frames,class,edge_exclude_frames,edge_hold_end_frames,edge_hold_start_frames,fps,frames,output,source,source_peak_frame,source_peak_speed_mps,target_frame
43,1.183244228363037,-1,forehand,10,1,0,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_peak43_aligned/forehand/forehand_manual_011_forehand_1.100_3.100_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/forehand/forehand_manual_011_forehand_1.100_3.100_50fps__unitree_g1.npz,44,1.183244228363037,43
43,1.2587475776672363,7,forehand,10,0,7,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_peak43_aligned/forehand/forehand_manual_012_forehand_3.200_5.300_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/forehand/forehand_manual_012_forehand_3.200_5.300_50fps__unitree_g1.npz,36,1.2587475776672363,43
43,1.2251670360565186,-25,forehand,10,25,0,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_peak43_aligned/forehand/forehand_manual_013_forehand_5.500_7.500_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/forehand/forehand_manual_013_forehand_5.500_7.500_50fps__unitree_g1.npz,68,1.2251670360565186,43
43,1.3114564418792725,3,forehand,10,0,3,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_peak43_aligned/forehand/forehand_manual_014_forehand_0.900_2.900_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/forehand/forehand_manual_014_forehand_0.900_2.900_50fps__unitree_g1.npz,40,1.3114564418792725,43
43,1.6665326356887817,12,forehand,10,0,12,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_peak43_aligned/forehand/forehand_manual_015_forehand_2.950_4.950_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/forehand/forehand_manual_015_forehand_2.950_4.950_50fps__unitree_g1.npz,31,1.6665326356887817,43
43,1.2666082382202148,5,forehand,10,0,5,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_peak43_aligned/forehand/forehand_manual_016_forehand_5.000_6.950_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/forehand/forehand_manual_016_forehand_5.000_6.950_50fps__unitree_g1.npz,38,1.2666082382202148,43
43,1.7935709953308105,-33,forehand,10,33,0,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_peak43_aligned/forehand/forehand_manual_017_forehand_0.600_2.500_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/forehand/forehand_manual_017_forehand_0.600_2.500_50fps__unitree_g1.npz,76,1.7935709953308105,43
43,1.9537122249603271,4,forehand,10,0,4,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_peak43_aligned/forehand/forehand_manual_018_forehand_2.550_4.600_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/forehand/forehand_manual_018_forehand_2.550_4.600_50fps__unitree_g1.npz,39,1.9537122249603271,43
43,2.0928661823272705,5,forehand,10,0,5,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_peak43_aligned/forehand/forehand_manual_019_forehand_5.000_7.050_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/forehand/forehand_manual_019_forehand_5.000_7.050_50fps__unitree_g1.npz,38,2.0928661823272705,43
43,1.020883560180664,8,backhand,10,0,8,50.0,94,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_peak43_aligned/backhand/backhand_manual_001_backhand_0.000_1.937_50fps__unitree_g1.npz,data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/backhand/backhand_manual_001_backhand_0.000_1.937_50fps__unitree_g1.npz,35,1.020883560180664,43
