strike_type,source_dataset,copied_from,source_npz,output_npz,fps,frames,joint_dim,body_count,dropped_body_name
forehand,iphone_manual_hitter_g1_npz_strike43_clean,old_iphone_motion,/root/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean/forehand_manual_012_2364242d_1.465_3.840_50fps__unitree_g1.npz,/root/Hitter/MOSAIC-main/data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_012_2364242d_1.465_3.840_50fps__unitree_g1.npz,50.0,94,29,30,
forehand,iphone_manual_hitter_g1_npz_strike43_clean,old_iphone_motion,/root/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean/forehand_manual_013_40fd40cf_17.125_19.944_50fps__unitree_g1.npz,/root/Hitter/MOSAIC-main/data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_013_40fd40cf_17.125_19.944_50fps__unitree_g1.npz,50.0,94,29,30,
forehand,iphone_manual_hitter_g1_npz_strike43_clean,old_iphone_motion,/root/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean/forehand_manual_015_b06277d3_9.608_12.172_50fps__unitree_g1.npz,/root/Hitter/MOSAIC-main/data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_015_b06277d3_9.608_12.172_50fps__unitree_g1.npz,50.0,94,29,30,
forehand,iphone_manual_hitter_g1_npz_strike43_clean,old_iphone_motion,/root/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean/forehand_manual_016_b06277d3_21.417_24.637_50fps__unitree_g1.npz,/root/Hitter/MOSAIC-main/data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_016_b06277d3_21.417_24.637_50fps__unitree_g1.npz,50.0,94,29,30,
forehand,iphone_manual_hitter_g1_npz_strike43_clean,old_iphone_motion,/root/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean/forehand_manual_017_bf8b587b_14.926_16.483_expanded_14.764_16.645_50fps__unitree_g1.npz,/root/Hitter/MOSAIC-main/data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_017_bf8b587b_14.926_16.483_expanded_14.764_16.645_50fps__unitree_g1.npz,50.0,94,29,30,
forehand,iphone_manual_hitter_g1_npz_strike43_clean,old_iphone_motion,/root/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean/forehand_manual_018_bf8b587b_16.602_17.794_expanded_16.258_18.138_50fps__unitree_g1.npz,/root/Hitter/MOSAIC-main/data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_018_bf8b587b_16.602_17.794_expanded_16.258_18.138_50fps__unitree_g1.npz,50.0,94,29,30,
forehand,iphone_manual_hitter_g1_npz_strike43_clean,old_iphone_motion,/root/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean/forehand_manual_019_c4ef15be_16.902_18.545_expanded_16.784_18.663_50fps__unitree_g1.npz,/root/Hitter/MOSAIC-main/data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_019_c4ef15be_16.902_18.545_expanded_16.784_18.663_50fps__unitree_g1.npz,50.0,94,29,30,
backhand,wechat_20260608_g1_npz_strike43_fixed_racket_roll055_arm155,new_wechat_20260608_motion,/root/Hitter/MOSAIC-main/data/hitter_motions/wechat_20260608_g1_npz_strike43_fixed_racket_roll055_arm155/backhand/backhand_manual_005_cb108680_26.000_27.203_strike43_94f_50fps__unitree_g1.npz,/root/Hitter/MOSAIC-main/data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/backhand/backhand_manual_005_cb108680_26.000_27.203_strike43_94f_50fps__unitree_g1.npz,50.0,94,29,30,right_racket_link
backhand,wechat_20260608_g1_npz_strike43_fixed_racket_roll055_arm155,new_wechat_20260608_motion,/root/Hitter/MOSAIC-main/data/hitter_motions/wechat_20260608_g1_npz_strike43_fixed_racket_roll055_arm155/backhand/backhand_manual_006_cb108680_27.200_29.000_strike43_94f_50fps__unitree_g1.npz,/root/Hitter/MOSAIC-main/data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/backhand/backhand_manual_006_cb108680_27.200_29.000_strike43_94f_50fps__unitree_g1.npz,50.0,94,29,30,right_racket_link
backhand,wechat_20260608_g1_npz_strike43_fixed_racket_roll055_arm155,new_wechat_20260608_motion,/root/Hitter/MOSAIC-main/data/hitter_motions/wechat_20260608_g1_npz_strike43_fixed_racket_roll055_arm155/backhand/backhand_manual_007_cb108680_29.000_30.500_strike43_94f_50fps__unitree_g1.npz,/root/Hitter/MOSAIC-main/data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/backhand/backhand_manual_007_cb108680_29.000_30.500_strike43_94f_50fps__unitree_g1.npz,50.0,94,29,30,right_racket_link
