[2026-06-08 21:53:02,755][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/house/experiments/ptk784htxxf7gl6jixhql/heartbeat
[2026-06-08 21:53:02,760][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/ptk784htxxf7gl6jixhql/files/complete
[2026-06-08 21:53:02,762][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/ptk784htxxf7gl6jixhql/files/prepare
[2026-06-08 21:53:02,762][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/ptk784htxxf7gl6jixhql/files/prepare
[2026-06-08 21:53:02,762][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/ptk784htxxf7gl6jixhql/files/complete
[2026-06-08 21:53:03,800][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814caf0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ptk784htxxf7gl6jixhql/heartbeat
[2026-06-08 21:53:03,800][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814d210>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/complete
[2026-06-08 21:53:03,801][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814d3f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/prepare
[2026-06-08 21:53:03,801][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814d4b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/complete
[2026-06-08 21:53:03,807][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814d510>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/prepare
[2026-06-08 21:53:05,827][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814d9c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/prepare
[2026-06-08 21:53:05,828][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814d990>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ptk784htxxf7gl6jixhql/heartbeat
[2026-06-08 21:53:05,828][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814dbd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/prepare
[2026-06-08 21:53:05,829][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814cc10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/complete
[2026-06-08 21:53:05,831][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814da20>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/complete
[2026-06-08 21:53:09,890][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814ecb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/prepare
[2026-06-08 21:53:09,890][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814ec50>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ptk784htxxf7gl6jixhql/heartbeat
[2026-06-08 21:53:09,890][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814ee60>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/complete
[2026-06-08 21:53:09,891][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814ece0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/prepare
[2026-06-08 21:53:09,891][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f88f814eda0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/complete
[2026-06-08 21:53:17,922][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f889c1a5720>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ptk784htxxf7gl6jixhql/heartbeat
[2026-06-08 21:53:17,923][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f889c1a55d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/complete
[2026-06-08 21:53:17,923][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f889c1a5480>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ptk784htxxf7gl6jixhql/files/complete
