[2026-06-16 21:19:19,310][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:19:19,310][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:19:19,311][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/house/experiments/67qq991a4rpsrzl3ppfio/heartbeat
[2026-06-16 21:19:20,318][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f49ec3ad690>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:19:20,319][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f49ec3acfa0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/67qq991a4rpsrzl3ppfio/heartbeat
[2026-06-16 21:19:20,319][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f532fda35b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:19:22,338][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f49ec3acf40>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:19:22,338][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f49ec3ada80>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/67qq991a4rpsrzl3ppfio/heartbeat
[2026-06-16 21:19:22,340][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f49ec3ada50>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:19:26,405][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f49ddb78310>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:19:26,405][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f49ddb78220>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/67qq991a4rpsrzl3ppfio/heartbeat
[2026-06-16 21:19:26,405][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f49ddb78460>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:19:34,448][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f49ddb78d00>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:19:34,448][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f49ddb79360>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:19:34,449][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f49ddb78700>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/67qq991a4rpsrzl3ppfio/heartbeat
[2026-06-16 21:20:57,670][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462f102320>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:20:57,677][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462f102e60>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:20:58,694][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462f102740>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:20:58,694][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462f102aa0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:21:00,697][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462f102b00>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:21:00,697][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462f102bc0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:21:04,703][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462f103190>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:21:04,703][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462f103f40>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:21:12,744][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462ec6d030>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:21:12,744][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462ec6d0c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:29:34,486][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f45c91a5db0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/67qq991a4rpsrzl3ppfio/heartbeat
