host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw,clean_segment_id,source_file,source_row_index
1782478692.531060696,30.666956663,259,vicon_state_data,ball,1,0,2.549845029,-0.024070042,1.130537334,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822504527,-0.460402595,0.820782798,0.000000000,0.000000000,-0.034862810,0.999392107,1,session_008_first30_incoming.csv,148
1782478692.533533335,30.669429302,260,vicon_state_data,ball,1,0,2.538031196,-0.024823445,1.135421607,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822495533,-0.460419665,0.820728100,0.000000000,0.000000000,-0.035214472,0.999379778,1,session_008_first30_incoming.csv,149
1782478692.536453962,30.672349930,261,vicon_state_data,ball,1,0,2.526239577,-0.025538968,1.140225596,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822489608,-0.460441860,0.820741455,0.000000000,0.000000000,-0.035165405,0.999381506,1,session_008_first30_incoming.csv,150
1782478692.539344549,30.675240517,262,vicon_state_data,ball,1,0,2.514421310,-0.026248681,1.144846106,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822503007,-0.460455840,0.820748383,0.000000000,0.000000000,-0.035108284,0.999383514,1,session_008_first30_incoming.csv,151
1782478692.542135239,30.678031206,263,vicon_state_data,ball,1,0,2.502636949,-0.027082604,1.149388650,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822520494,-0.460418065,0.820763019,0.000000000,0.000000000,-0.034878290,0.999391567,1,session_008_first30_incoming.csv,152
1782478692.544885397,30.680781364,264,vicon_state_data,ball,1,0,2.490789163,-0.027858151,1.153747757,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822525425,-0.460414203,0.820759380,0.000000000,0.000000000,-0.034819326,0.999393623,1,session_008_first30_incoming.csv,153
1782478692.547629356,30.683525324,265,vicon_state_data,ball,1,0,2.478939037,-0.029562887,1.158230838,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822535577,-0.460445682,0.820764895,0.000000000,0.000000000,-0.034796769,0.999394409,1,session_008_first30_incoming.csv,154
1782478692.550373316,30.686269283,266,vicon_state_data,ball,1,0,2.467127364,-0.029432954,1.162059061,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822528313,-0.460381104,0.820752787,0.000000000,0.000000000,-0.034708027,0.999397495,1,session_008_first30_incoming.csv,155
1782478692.553074121,30.688970089,267,vicon_state_data,ball,1,0,2.455205165,-0.030937456,1.166433698,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822512537,-0.460430369,0.820719141,0.000000000,0.000000000,-0.035052964,0.999385456,1,session_008_first30_incoming.csv,156
1782478692.555741549,30.691637516,268,vicon_state_data,ball,1,0,2.443417053,-0.031802770,1.170305183,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822529480,-0.460451154,0.820685717,0.000000000,0.000000000,-0.034982359,0.999387930,1,session_008_first30_incoming.csv,157
1782478692.558423281,30.694319248,269,vicon_state_data,ball,1,0,2.431581840,-0.032714716,1.174098163,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822529596,-0.460463582,0.820703053,0.000000000,0.000000000,-0.034986822,0.999387774,1,session_008_first30_incoming.csv,158
1782478692.561104059,30.697000027,270,vicon_state_data,ball,1,0,2.419788557,-0.033625232,1.177784604,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822537200,-0.460441241,0.820691978,0.000000000,0.000000000,-0.035012539,0.999386873,1,session_008_first30_incoming.csv,159
1782478692.563824892,30.699720860,271,vicon_state_data,ball,1,0,2.408054477,-0.034338493,1.181277510,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822530773,-0.460421538,0.820712071,0.000000000,0.000000000,-0.035082808,0.999384409,1,session_008_first30_incoming.csv,160
1782478692.566565990,30.702461958,272,vicon_state_data,ball,1,0,2.396344918,-0.034467406,1.184426020,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822559692,-0.460417724,0.820754145,0.000000000,0.000000000,-0.034750154,0.999396031,1,session_008_first30_incoming.csv,161
1782478692.569343090,30.705239058,273,vicon_state_data,ball,1,0,2.384638041,-0.035256866,1.187797364,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822524490,-0.460411313,0.820706914,0.000000000,0.000000000,-0.035080616,0.999384486,1,session_008_first30_incoming.csv,162
1782478692.572090149,30.707986116,274,vicon_state_data,ball,1,0,2.372938820,-0.036044124,1.191065603,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822553411,-0.460414464,0.820723443,0.000000000,0.000000000,-0.035027103,0.999386363,1,session_008_first30_incoming.csv,163
1782478692.574837923,30.710733891,275,vicon_state_data,ball,1,0,2.361269861,-0.036839686,1.194208050,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822543662,-0.460441064,0.820720556,0.000000000,0.000000000,-0.035028746,0.999386305,1,session_008_first30_incoming.csv,164
1782478692.577373266,30.713269234,276,vicon_state_data,ball,1,0,2.349630863,-0.037607336,1.197267190,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822566986,-0.460394436,0.820775505,0.000000000,0.000000000,-0.034687782,0.999398198,1,session_008_first30_incoming.csv,165
