host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw,clean_segment_id
1782463486.246953964,28.411651134,8063,vicon_state_data,ball,1,0,3.028441472,-0.292227989,0.605037878,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865115658,-0.386843168,0.820196537,0.000000000,0.000000000,0.005072733,0.999987134,9
1782463486.250569105,28.415266275,8064,vicon_state_data,ball,1,0,3.029337665,-0.288912317,0.612175907,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865138897,-0.386815126,0.820230130,0.000000000,0.000000000,0.005204611,0.999986456,9
1782463486.253469706,28.418166876,8065,vicon_state_data,ball,1,0,3.030339961,-0.287923558,0.617403565,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865125035,-0.386800953,0.820243009,0.000000000,0.000000000,0.005172743,0.999986621,9
1782463486.256814480,28.421511650,8066,vicon_state_data,ball,1,0,3.031227628,-0.286398459,0.622814858,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865095394,-0.386816993,0.820230468,0.000000000,0.000000000,0.004942382,0.999987786,9
1782463486.260133743,28.424830914,8067,vicon_state_data,ball,1,0,3.032001900,-0.283620007,0.629365370,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865078186,-0.386769948,0.820213159,0.000000000,0.000000000,0.004867387,0.999988154,9
1782463486.263348579,28.428045750,8068,vicon_state_data,ball,1,0,3.032826418,-0.281726760,0.634962074,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865098130,-0.386736079,0.820252831,0.000000000,0.000000000,0.005065089,0.999987172,9
1782463486.266798496,28.431495667,8069,vicon_state_data,ball,1,0,3.033578618,-0.280244572,0.640282646,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865118027,-0.386692858,0.820286757,0.000000000,0.000000000,0.005246366,0.999986238,9
1782463486.270118475,28.434815645,8070,vicon_state_data,ball,1,0,3.034224092,-0.277889047,0.646122701,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865109109,-0.386670891,0.820300591,0.000000000,0.000000000,0.005155775,0.999986709,9
1782463486.273272991,28.437970161,8071,vicon_state_data,ball,1,0,3.034850352,-0.276012072,0.651656657,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865081453,-0.386652356,0.820279790,0.000000000,0.000000000,0.004962382,0.999987687,9
1782463486.276948452,28.441645622,8072,vicon_state_data,ball,1,0,3.035455642,-0.274249955,0.657098786,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865059909,-0.386609062,0.820241997,0.000000000,0.000000000,0.004968286,0.999987658,9
1782463486.280282974,28.444980145,8073,vicon_state_data,ball,1,0,3.036003185,-0.272531737,0.662375413,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865067536,-0.386558173,0.820272365,0.000000000,0.000000000,0.005163231,0.999986670,9
1782463486.283598423,28.448295593,8074,vicon_state_data,ball,1,0,3.036509067,-0.270184656,0.668010752,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865031812,-0.386513297,0.820252980,0.000000000,0.000000000,0.004986232,0.999987569,9
1782463486.286760330,28.451457500,8075,vicon_state_data,ball,1,0,3.036997696,-0.268486926,0.673281285,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.864986411,-0.386518782,0.820235922,0.000000000,0.000000000,0.004809199,0.999988436,9
1782463486.289987564,28.454684734,8076,vicon_state_data,ball,1,0,3.037360952,-0.266665777,0.678477950,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.864992543,-0.386460058,0.820245393,0.000000000,0.000000000,0.004884000,0.999988073,9
1782463486.293317080,28.458014250,8077,vicon_state_data,ball,1,0,3.037646419,-0.264552508,0.683930523,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.864879987,-0.386682285,0.820432227,0.000000000,0.000000000,0.003465383,0.999993996,9
1782463486.296785831,28.461483002,8078,vicon_state_data,ball,1,0,3.037948556,-0.262788693,0.689128117,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.864972340,-0.386409897,0.820249386,0.000000000,0.000000000,0.004633973,0.999989263,9
1782463486.300022364,28.464719534,8079,vicon_state_data,ball,1,0,3.038182350,-0.261033868,0.694172300,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.864958962,-0.386384824,0.820220750,0.000000000,0.000000000,0.004654238,0.999989169,9
1782463486.303256750,28.467953920,8080,vicon_state_data,ball,1,0,3.038353784,-0.259295183,0.699305675,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.864950050,-0.386320602,0.820229732,0.000000000,0.000000000,0.004645473,0.999989210,9
1782463486.306793213,28.471490383,8081,vicon_state_data,ball,1,0,3.038496672,-0.257598601,0.704344997,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.864948731,-0.386261578,0.820233998,0.000000000,0.000000000,0.004776730,0.999988591,9
1782463486.309996128,28.474693298,8082,vicon_state_data,ball,1,0,3.038564418,-0.255407771,0.709687574,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.864934489,-0.386238850,0.820258051,0.000000000,0.000000000,0.004735639,0.999988787,9
1782463486.313344002,28.478041172,8083,vicon_state_data,ball,1,0,3.038595977,-0.253799016,0.714570600,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.864908108,-0.386259443,0.820279268,0.000000000,0.000000000,0.004570107,0.999989557,9
1782463486.316688299,28.481385469,8084,vicon_state_data,ball,1,0,3.038635101,-0.251905662,0.719560468,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.864885678,-0.386249812,0.820254537,0.000000000,0.000000000,0.004432457,0.999990177,9
1782463486.319946527,28.484643698,8085,vicon_state_data,ball,1,0,3.038625059,-0.250249428,0.724316907,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.864886963,-0.386194861,0.820281326,0.000000000,0.000000000,0.004600241,0.999989419,9
1782463486.323278427,28.487975597,8086,vicon_state_data,ball,1,0,3.038528859,-0.248243641,0.729271091,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.864847998,-0.386179393,0.820233682,0.000000000,0.000000000,0.004371769,0.999990444,9
