host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw
1782473751.506865740,433.307490110,0,vicon_state_data,ball,1,0,2.715215141,-0.042863304,1.062555982,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822495942,-0.460200097,0.820526080,0.000000000,0.000000000,-0.038019103,0.999277013
1782473751.506980419,433.307604790,1,vicon_state_data,ball,1,0,2.713819388,-0.042148215,1.062789301,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822489095,-0.460199820,0.820539609,0.000000000,0.000000000,-0.038035037,0.999276406
1782473752.831554413,434.632178783,2,vicon_state_data,ball,1,0,2.726824455,0.041409107,1.170875072,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821987361,-0.459434902,0.820564065,0.000000000,0.000000000,-0.038208106,0.999269804
1782473752.831646681,434.632271051,3,vicon_state_data,ball,1,0,2.726827346,0.041624675,1.170608897,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821975252,-0.459373745,0.820612179,0.000000000,0.000000000,-0.037819966,0.999284569
1782473752.831704617,434.632328987,4,vicon_state_data,ball,1,0,2.726259483,0.041240865,1.170825766,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821991910,-0.459431303,0.820554800,0.000000000,0.000000000,-0.038283234,0.999266928
1782473752.831840277,434.632464647,5,vicon_state_data,ball,1,0,2.726212427,0.041227205,1.170656212,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821978717,-0.459432061,0.820569091,0.000000000,0.000000000,-0.038270790,0.999267405
1782473753.195176363,434.995800734,6,vicon_state_data,ball,1,0,2.700181700,0.034801066,1.150485900,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822213635,-0.459352084,0.820578976,0.000000000,0.000000000,-0.038512217,0.999258129
1782473753.195271492,434.995895863,7,vicon_state_data,ball,1,0,2.699503530,0.034662597,1.149585170,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822201548,-0.459283133,0.820629133,0.000000000,0.000000000,-0.038091429,0.999274258
1782473753.195319414,434.995943785,8,vicon_state_data,ball,1,0,2.698768737,0.034626141,1.149151854,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822215511,-0.459347143,0.820548891,0.000000000,0.000000000,-0.038333601,0.999264997
1782473753.195424795,434.996049166,9,vicon_state_data,ball,1,0,2.698066252,0.034509809,1.148382357,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822225242,-0.459343636,0.820578988,0.000000000,0.000000000,-0.038565183,0.999256087
1782473753.195499420,434.996123791,10,vicon_state_data,ball,1,0,2.697381205,0.034099388,1.147312009,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822226865,-0.459364590,0.820596575,0.000000000,0.000000000,-0.038509445,0.999258236
1782473753.195567608,434.996191978,11,vicon_state_data,ball,1,0,2.696717079,0.033795444,1.145948224,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822234466,-0.459346098,0.820582836,0.000000000,0.000000000,-0.038529034,0.999257481
1782473753.195632935,434.996257305,12,vicon_state_data,ball,1,0,2.695999424,0.033721922,1.144828308,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822229046,-0.459380612,0.820558745,0.000000000,0.000000000,-0.038565272,0.999256083
1782473753.195697308,434.996321678,13,vicon_state_data,ball,1,0,2.695282519,0.033635486,1.143530130,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822213936,-0.459280768,0.820624694,0.000000000,0.000000000,-0.038039768,0.999276226
1782473753.256286860,435.056911230,14,vicon_state_data,ball,1,0,2.689801323,0.032760183,1.128177526,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822251594,-0.459313901,0.820617948,0.000000000,0.000000000,-0.038050876,0.999275803
1782473753.256474972,435.057099342,15,vicon_state_data,ball,1,0,2.689167402,0.032674142,1.125799475,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822257432,-0.459316002,0.820626406,0.000000000,0.000000000,-0.038081411,0.999274640
1782473753.256579638,435.057204008,16,vicon_state_data,ball,1,0,2.688762671,0.027933823,1.120010262,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822266228,-0.459382118,0.820549712,0.000000000,0.000000000,-0.038513527,0.999258079
1782473753.256654501,435.057278872,17,vicon_state_data,ball,1,0,2.688043890,0.028118916,1.117747803,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822271970,-0.459377124,0.820569753,0.000000000,0.000000000,-0.038463960,0.999259988
1782473753.256725073,435.057349443,18,vicon_state_data,ball,1,0,2.687087287,0.027262604,1.115609309,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822274576,-0.459376846,0.820569809,0.000000000,0.000000000,-0.038448932,0.999260566
1782473753.256792307,435.057416677,19,vicon_state_data,ball,1,0,2.686580341,0.030516601,1.114031290,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822280356,-0.459399538,0.820559678,0.000000000,0.000000000,-0.038447959,0.999260604
1782473753.256860018,435.057484388,20,vicon_state_data,ball,1,0,2.685700738,0.030434636,1.111445217,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822293634,-0.459398796,0.820546167,0.000000000,0.000000000,-0.038490033,0.999258984
1782473753.256926775,435.057551146,21,vicon_state_data,ball,1,0,2.674315730,0.030958069,1.121765361,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822292734,-0.459402010,0.820541799,0.000000000,0.000000000,-0.038474872,0.999259568
1782473753.256992817,435.057617188,22,vicon_state_data,ball,1,0,2.662181339,0.031553090,1.132755025,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822278785,-0.459302629,0.820606901,0.000000000,0.000000000,-0.037954238,0.999279478
1782473753.257059574,435.057683945,23,vicon_state_data,ball,1,0,2.650048748,0.031143928,1.143737148,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822304321,-0.459393342,0.820549255,0.000000000,0.000000000,-0.038361595,0.999263923
1782473753.257127285,435.057751656,24,vicon_state_data,ball,1,0,2.542858851,0.038268776,1.237597705,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822297623,-0.459423851,0.820507444,0.000000000,0.000000000,-0.038850367,0.999245040
1782473753.318566084,435.119190454,25,vicon_state_data,ball,1,0,2.530898120,0.038795298,1.247485048,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822282773,-0.459319876,0.820605749,0.000000000,0.000000000,-0.038084213,0.999274533
1782473753.318756819,435.119381189,26,vicon_state_data,ball,1,0,2.518782739,0.038945131,1.257439630,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822304970,-0.459402762,0.820572143,0.000000000,0.000000000,-0.038533706,0.999257301
1782473753.318857670,435.119482040,27,vicon_state_data,ball,1,0,2.507042381,0.039571186,1.266793811,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822293714,-0.459340074,0.820617244,0.000000000,0.000000000,-0.038124991,0.999272978
1782473753.318935871,435.119560242,28,vicon_state_data,ball,1,0,2.495278709,0.040324302,1.276155635,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822305661,-0.459384732,0.820569913,0.000000000,0.000000000,-0.038539485,0.999257078
1782473753.319009781,435.119634151,29,vicon_state_data,ball,1,0,2.483421267,0.040941539,1.285360079,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822308395,-0.459410976,0.820571610,0.000000000,0.000000000,-0.038492222,0.999258900
