host_time_s,elapsed_s,row_index,frame_number,vicon_frame_number,vicon_time_s,publish_time_us,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw
1782488955.920828342,55.910243750,0,64103326,64103326,213677.753333333,1782488955879165,vicon_state_data,ball,1,0,2.973130484,-0.143371603,1.158364377,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821240175,-0.460407082,0.819238200,0.000000000,0.000000000,0.001835488,0.999998315
1782488955.920933485,55.910348892,1,64103327,64103327,213677.756666667,1782488955882433,vicon_state_data,ball,1,0,2.972619984,-0.143668195,1.159096319,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821241646,-0.460415450,0.819212789,0.000000000,0.000000000,0.001810244,0.999998362
1782488955.920997381,55.910412788,2,64103328,64103328,213677.760000000,1782488955885837,vicon_state_data,ball,1,0,2.972179242,-0.143724738,1.159673337,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821248891,-0.460386878,0.819235036,0.000000000,0.000000000,0.001763253,0.999998445
1782488955.921159983,55.910575390,3,64103329,64103329,213677.763333333,1782488955889187,vicon_state_data,ball,1,0,2.971847086,-0.143998312,1.160287016,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821237360,-0.460401086,0.819223759,0.000000000,0.000000000,0.001742982,0.999998481
1782488955.921256781,55.910672188,4,64103330,64103330,213677.766666667,1782488955892431,vicon_state_data,ball,1,0,2.971202387,-0.144102790,1.161183710,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821242281,-0.460393569,0.819238503,0.000000000,0.000000000,0.001818037,0.999998347
1782488955.921333551,55.910748959,5,64103331,64103331,213677.770000000,1782488955895788,vicon_state_data,ball,1,0,2.970768420,-0.144259354,1.161935502,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821242915,-0.460384138,0.819236629,0.000000000,0.000000000,0.001779349,0.999998417
1782488955.985869169,55.975284576,6,64103339,64103339,213677.796666667,1782488955922606,vicon_state_data,ball,1,0,2.966041832,-0.143670586,1.168299329,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821248006,-0.460375289,0.819291542,0.000000000,0.000000000,0.001825713,0.999998333
1782488955.986067533,55.975482941,7,64103340,64103340,213677.800000000,1782488955925882,vicon_state_data,ball,1,0,2.965459123,-0.143476111,1.168973632,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821249731,-0.460365564,0.819281960,0.000000000,0.000000000,0.001813888,0.999998355
1782488955.986164808,55.975580215,8,64103341,64103341,213677.803333333,1782488955929142,vicon_state_data,ball,1,0,2.964772604,-0.143291029,1.169893335,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821251862,-0.460379029,0.819269680,0.000000000,0.000000000,0.001884250,0.999998225
1782488955.986248732,55.975664139,9,64103342,64103342,213677.806666667,1782488955932850,vicon_state_data,ball,1,0,2.964015077,-0.143059734,1.170833714,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821245856,-0.460390095,0.819253548,0.000000000,0.000000000,0.001834705,0.999998317
