host_time_s,elapsed_s,row_index,frame_number,vicon_frame_number,vicon_time_s,publish_time_us,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw,clean_segment_id,source_file,source_row_index
1782488957.486658812,57.476074219,360,64103808,64103808,213679.360000000,1782488957485970,vicon_state_data,ball,1,0,2.757523050,-0.039441901,1.193165764,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821351940,-0.460401655,0.819223809,0.000000000,0.000000000,0.002255609,0.999997456,1,session_011_live_view_new_lcm.csv,362
1782488957.555839539,57.545254946,361,64103809,64103809,213679.363333333,1782488957489277,vicon_state_data,ball,1,0,2.742493999,-0.041214170,1.200191366,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821355228,-0.460407594,0.819244081,0.000000000,0.000000000,0.002284591,0.999997390,1,session_011_live_view_new_lcm.csv,363
1782488957.558339357,57.547754765,362,64103810,64103810,213679.366666667,1782488957492530,vicon_state_data,ball,1,0,2.728035296,-0.043395425,1.206721103,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821348894,-0.460371990,0.819246275,0.000000000,0.000000000,0.002284137,0.999997391,1,session_011_live_view_new_lcm.csv,364
1782488957.560680866,57.550096273,363,64103811,64103811,213679.370000000,1782488957495826,vicon_state_data,ball,1,0,2.713390900,-0.045710180,1.213507371,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821350400,-0.460400450,0.819261367,0.000000000,0.000000000,0.002356557,0.999997223,1,session_011_live_view_new_lcm.csv,365
1782488957.563252449,57.552667856,364,64103812,64103812,213679.373333333,1782488957499346,vicon_state_data,ball,1,0,2.698625303,-0.047623525,1.219904271,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821357069,-0.460386581,0.819253365,0.000000000,0.000000000,0.002318581,0.999997312,1,session_011_live_view_new_lcm.csv,366
1782488957.565785646,57.555201054,365,64103813,64103813,213679.376666667,1782488957502577,vicon_state_data,ball,1,0,2.683851278,-0.049854181,1.226229390,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821350334,-0.460364557,0.819254219,0.000000000,0.000000000,0.002302351,0.999997350,1,session_011_live_view_new_lcm.csv,367
1782488957.568264961,57.557680368,366,64103814,64103814,213679.380000000,1782488957505849,vicon_state_data,ball,1,0,2.669055248,-0.052160701,1.232519851,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821353170,-0.460396920,0.819256012,0.000000000,0.000000000,0.002264383,0.999997436,1,session_011_live_view_new_lcm.csv,368
1782488957.570676804,57.560092211,367,64103815,64103815,213679.383333333,1782488957509221,vicon_state_data,ball,1,0,2.654405934,-0.054732328,1.238582700,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821340179,-0.460373775,0.819239644,0.000000000,0.000000000,0.002231885,0.999997509,1,session_011_live_view_new_lcm.csv,369
1782488957.573068619,57.562484026,368,64103816,64103816,213679.386666667,1782488957512495,vicon_state_data,ball,1,0,2.639644371,-0.057011896,1.244463175,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821346099,-0.460378588,0.819254922,0.000000000,0.000000000,0.002203700,0.999997572,1,session_011_live_view_new_lcm.csv,370
1782488957.575948954,57.565364361,369,64103817,64103817,213679.390000000,1782488957515933,vicon_state_data,ball,1,0,2.624908624,-0.059319932,1.250074677,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821347287,-0.460420697,0.819224655,0.000000000,0.000000000,0.002284056,0.999997392,1,session_011_live_view_new_lcm.csv,371
1782488957.578723907,57.568139315,370,64103818,64103818,213679.393333333,1782488957519241,vicon_state_data,ball,1,0,2.610298850,-0.061471219,1.255461716,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821339166,-0.460413603,0.819251526,0.000000000,0.000000000,0.002344720,0.999997251,1,session_011_live_view_new_lcm.csv,372
1782488957.581507683,57.570923090,371,64103829,64103829,213679.430000000,1782488957555870,vicon_state_data,ball,1,0,2.452390950,-0.087605890,1.309180701,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821326062,-0.460390012,0.819230445,0.000000000,0.000000000,0.002286049,0.999997387,1,session_011_live_view_new_lcm.csv,373
1782488957.584284067,57.573699474,372,64103830,64103830,213679.433333333,1782488957559282,vicon_state_data,ball,1,0,2.437866317,-0.088806315,1.313582064,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821332848,-0.460391511,0.819238093,0.000000000,0.000000000,0.002367614,0.999997197,1,session_011_live_view_new_lcm.csv,374
1782488957.587100983,57.576516390,373,64103831,64103831,213679.436666667,1782488957562622,vicon_state_data,ball,1,0,2.423918190,-0.092143391,1.317274888,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821340336,-0.460393213,0.819245890,0.000000000,0.000000000,0.002321354,0.999997306,1,session_011_live_view_new_lcm.csv,375
1782488957.589935780,57.579351187,374,64103832,64103832,213679.440000000,1782488957566079,vicon_state_data,ball,1,0,2.409779733,-0.094263963,1.320953566,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821341771,-0.460433174,0.819237186,0.000000000,0.000000000,0.002432212,0.999997042,1,session_011_live_view_new_lcm.csv,376
1782488957.592770576,57.582185984,375,64103833,64103833,213679.443333333,1782488957569290,vicon_state_data,ball,1,0,2.395700750,-0.096494723,1.324610118,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821338263,-0.460417845,0.819262832,0.000000000,0.000000000,0.002418747,0.999997075,1,session_011_live_view_new_lcm.csv,377
1782488957.595649958,57.585065365,376,64103834,64103834,213679.446666667,1782488957572782,vicon_state_data,ball,1,0,2.381657772,-0.098787805,1.328230407,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821341903,-0.460384904,0.819279353,0.000000000,0.000000000,0.002392985,0.999997137,1,session_011_live_view_new_lcm.csv,378
1782488957.598581076,57.587996483,377,64103835,64103835,213679.450000000,1782488957575872,vicon_state_data,ball,1,0,2.367678833,-0.101462949,1.331808935,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821328239,-0.460397515,0.819247038,0.000000000,0.000000000,0.002330255,0.999997285,1,session_011_live_view_new_lcm.csv,379
1782488957.601519823,57.590935230,378,64103836,64103836,213679.453333333,1782488957579222,vicon_state_data,ball,1,0,2.353380999,-0.103275000,1.335337287,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821338942,-0.460395816,0.819275160,0.000000000,0.000000000,0.002341212,0.999997259,1,session_011_live_view_new_lcm.csv,380
1782488957.604473352,57.593888760,379,64103837,64103837,213679.456666667,1782488957582810,vicon_state_data,ball,1,0,2.339163330,-0.105533913,1.338670836,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821329968,-0.460431720,0.819236239,0.000000000,0.000000000,0.002315611,0.999997319,1,session_011_live_view_new_lcm.csv,381
1782488957.607414246,57.596829653,380,64103838,64103838,213679.460000000,1782488957586081,vicon_state_data,ball,1,0,2.325071136,-0.108192800,1.342037630,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821329080,-0.460408568,0.819246878,0.000000000,0.000000000,0.002327600,0.999997291,1,session_011_live_view_new_lcm.csv,382
1782488957.610405684,57.599821091,381,64103839,64103839,213679.463333333,1782488957589315,vicon_state_data,ball,1,0,2.310924326,-0.110688521,1.345088062,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821347347,-0.460454897,0.819245275,0.000000000,0.000000000,0.002423518,0.999997063,1,session_011_live_view_new_lcm.csv,383
1782488957.612890720,57.602306128,382,64103840,64103840,213679.466666667,1782488957592664,vicon_state_data,ball,1,0,2.296739831,-0.113039894,1.347987985,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821332928,-0.460433061,0.819234486,0.000000000,0.000000000,0.002426443,0.999997056,1,session_011_live_view_new_lcm.csv,384
1782488957.615356922,57.604772329,383,64103841,64103841,213679.470000000,1782488957596163,vicon_state_data,ball,1,0,2.282541463,-0.115350775,1.350750573,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821329076,-0.460411087,0.819228309,0.000000000,0.000000000,0.002310401,0.999997331,1,session_011_live_view_new_lcm.csv,385
1782488957.617847919,57.607263327,384,64103842,64103842,213679.473333333,1782488957599181,vicon_state_data,ball,1,0,2.268443682,-0.117596686,1.353295665,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821324195,-0.460396300,0.819243115,0.000000000,0.000000000,0.002292177,0.999997373,1,session_011_live_view_new_lcm.csv,386
1782488957.620405674,57.609821081,385,64103843,64103843,213679.476666667,1782488957602497,vicon_state_data,ball,1,0,2.254716327,-0.121543799,1.355017513,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821322119,-0.460428911,0.819235084,0.000000000,0.000000000,0.002478387,0.999996929,1,session_011_live_view_new_lcm.csv,387
1782488957.622945786,57.612361193,386,64103844,64103844,213679.480000000,1782488957606245,vicon_state_data,ball,1,0,2.240754896,-0.123929983,1.357299398,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821327668,-0.460424403,0.819234642,0.000000000,0.000000000,0.002348695,0.999997242,1,session_011_live_view_new_lcm.csv,388
1782488957.625476122,57.614891529,387,64103845,64103845,213679.483333333,1782488957609781,vicon_state_data,ball,1,0,2.226877577,-0.126369175,1.359531584,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821327665,-0.460426897,0.819253921,0.000000000,0.000000000,0.002386502,0.999997152,1,session_011_live_view_new_lcm.csv,389
1782488957.628006458,57.617421865,388,64103846,64103846,213679.486666667,1782488957612728,vicon_state_data,ball,1,0,2.213061884,-0.128945143,1.361632796,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821325765,-0.460450913,0.819227291,0.000000000,0.000000000,0.002426125,0.999997057,1,session_011_live_view_new_lcm.csv,390
1782488957.630537510,57.619952917,389,64103847,64103847,213679.490000000,1782488957615917,vicon_state_data,ball,1,0,2.199254234,-0.131285586,1.363802092,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821317061,-0.460413621,0.819257056,0.000000000,0.000000000,0.002320407,0.999997308,1,session_011_live_view_new_lcm.csv,391
1782488957.633062840,57.622478247,390,64103848,64103848,213679.493333333,1782488957619122,vicon_state_data,ball,1,0,2.185431481,-0.133569025,1.365966191,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821316092,-0.460421095,0.819225245,0.000000000,0.000000000,0.002325887,0.999997295,1,session_011_live_view_new_lcm.csv,392
1782488957.635586023,57.625001431,391,64103849,64103849,213679.496666667,1782488957622623,vicon_state_data,ball,1,0,2.171673920,-0.136094019,1.367999324,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821318976,-0.460424189,0.819226930,0.000000000,0.000000000,0.002415012,0.999997084,1,session_011_live_view_new_lcm.csv,393
1782488957.638141155,57.627556562,392,64103850,64103850,213679.500000000,1782488957625953,vicon_state_data,ball,1,0,2.157875524,-0.139141465,1.369986335,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821333993,-0.460429642,0.819255091,0.000000000,0.000000000,0.002401066,0.999997117,1,session_011_live_view_new_lcm.csv,394
1782488957.640779018,57.630194426,393,64103851,64103851,213679.503333333,1782488957629186,vicon_state_data,ball,1,0,2.143858233,-0.139599418,1.371827150,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821314220,-0.460430107,0.819238893,0.000000000,0.000000000,0.002458597,0.999996978,1,session_011_live_view_new_lcm.csv,395
1782488957.643357992,57.632773399,394,64103852,64103852,213679.506666667,1782488957632537,vicon_state_data,ball,1,0,2.129982840,-0.142149424,1.373465825,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821317509,-0.460417659,0.819241445,0.000000000,0.000000000,0.002431394,0.999997044,1,session_011_live_view_new_lcm.csv,396
1782488957.645917416,57.635332823,395,64103853,64103853,213679.510000000,1782488957635850,vicon_state_data,ball,1,0,2.116153692,-0.144508402,1.374911678,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821324071,-0.460437382,0.819229693,0.000000000,0.000000000,0.002473078,0.999996942,1,session_011_live_view_new_lcm.csv,397
1782488957.648533106,57.637948513,396,64103854,64103854,213679.513333333,1782488957639458,vicon_state_data,ball,1,0,2.102393390,-0.146952450,1.376217177,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821322139,-0.460426790,0.819226424,0.000000000,0.000000000,0.002528308,0.999996804,1,session_011_live_view_new_lcm.csv,398
1782488957.651126385,57.640541792,397,64103855,64103855,213679.516666667,1782488957642722,vicon_state_data,ball,1,0,2.088742829,-0.149518364,1.377002868,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821318337,-0.460444137,0.819215946,0.000000000,0.000000000,0.002470636,0.999996948,1,session_011_live_view_new_lcm.csv,399
1782488957.653717995,57.643133402,398,64103856,64103856,213679.520000000,1782488957646082,vicon_state_data,ball,1,0,2.075172239,-0.152470355,1.377706956,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821308350,-0.460425121,0.819230613,0.000000000,0.000000000,0.002538723,0.999996777,1,session_011_live_view_new_lcm.csv,400
1782488957.656292677,57.645708084,399,64103857,64103857,213679.523333333,1782488957649356,vicon_state_data,ball,1,0,2.061557106,-0.154694562,1.378490970,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821309702,-0.460449822,0.819218345,0.000000000,0.000000000,0.002420277,0.999997071,1,session_011_live_view_new_lcm.csv,401
1782488957.658860207,57.648275614,400,64103858,64103858,213679.526666667,1782488957652635,vicon_state_data,ball,1,0,2.047925595,-0.156965130,1.379043993,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821313786,-0.460443741,0.819226913,0.000000000,0.000000000,0.002343571,0.999997254,1,session_011_live_view_new_lcm.csv,402
1782488957.661504507,57.650919914,401,64103859,64103859,213679.530000000,1782488957656035,vicon_state_data,ball,1,0,2.034308991,-0.159344750,1.379793322,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821331623,-0.460453688,0.819263129,0.000000000,0.000000000,0.002437083,0.999997030,1,session_011_live_view_new_lcm.csv,403
1782488957.664123535,57.653538942,402,64103860,64103860,213679.533333333,1782488957659247,vicon_state_data,ball,1,0,2.020678045,-0.161886348,1.380467338,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821317181,-0.460302051,0.819336542,0.000000000,0.000000000,0.002479804,0.999996925,1,session_011_live_view_new_lcm.csv,404
1782488957.666713715,57.656129122,403,64103861,64103861,213679.536666667,1782488957662584,vicon_state_data,ball,1,0,2.006968182,-0.164616344,1.380896303,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821302560,-0.460436751,0.819227768,0.000000000,0.000000000,0.002491120,0.999996897,1,session_011_live_view_new_lcm.csv,405
1782488957.669302464,57.658717871,404,64103862,64103862,213679.540000000,1782488957665834,vicon_state_data,ball,1,0,1.993289219,-0.167241616,1.381200908,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821314156,-0.460409416,0.819263312,0.000000000,0.000000000,0.002440658,0.999997022,1,session_011_live_view_new_lcm.csv,406
1782488957.671942711,57.661358118,405,64103863,64103863,213679.543333333,1782488957669169,vicon_state_data,ball,1,0,1.979620399,-0.169576945,1.381390452,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821316633,-0.460423165,0.819245347,0.000000000,0.000000000,0.002476700,0.999996933,1,session_011_live_view_new_lcm.csv,407
1782488957.674547195,57.663962603,406,64103864,64103864,213679.546666667,1782488957672689,vicon_state_data,ball,1,0,1.965898881,-0.171857598,1.381325120,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821304096,-0.460401990,0.819251114,0.000000000,0.000000000,0.002379528,0.999997169,1,session_011_live_view_new_lcm.csv,408
1782488957.677139282,57.666554689,407,64103865,64103865,213679.550000000,1782488957675856,vicon_state_data,ball,1,0,1.952035092,-0.173842194,1.381246651,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821309700,-0.460425353,0.819237146,0.000000000,0.000000000,0.002456846,0.999996982,1,session_011_live_view_new_lcm.csv,409
1782488957.679735184,57.669150591,408,64103866,64103866,213679.553333333,1782488957679169,vicon_state_data,ball,1,0,1.938485679,-0.176556364,1.381089491,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821309309,-0.460438121,0.819231949,0.000000000,0.000000000,0.002411999,0.999997091,1,session_011_live_view_new_lcm.csv,410
1782488957.748758554,57.738173962,409,64103867,64103867,213679.556666667,1782488957682484,vicon_state_data,ball,1,0,1.925077229,-0.179763064,1.380273632,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821310276,-0.460422451,0.819245842,0.000000000,0.000000000,0.002525197,0.999996812,1,session_011_live_view_new_lcm.csv,411
1782488957.751722097,57.741137505,410,64103868,64103868,213679.560000000,1782488957685801,vicon_state_data,ball,1,0,1.911688647,-0.183032707,1.379512286,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821297591,-0.460445549,0.819225753,0.000000000,0.000000000,0.002571827,0.999996693,1,session_011_live_view_new_lcm.csv,412
1782488957.754480124,57.743895531,411,64103869,64103869,213679.563333333,1782488957689216,vicon_state_data,ball,1,0,1.898308916,-0.185511958,1.378827531,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821293776,-0.460402026,0.819229841,0.000000000,0.000000000,0.002430941,0.999997045,1,session_011_live_view_new_lcm.csv,413
1782488957.757266521,57.746681929,412,64103870,64103870,213679.566666667,1782488957692574,vicon_state_data,ball,1,0,1.884975205,-0.187842775,1.378149862,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821308918,-0.460423173,0.819241165,0.000000000,0.000000000,0.002482660,0.999996918,1,session_011_live_view_new_lcm.csv,414
1782488957.759936571,57.749351978,413,64103871,64103871,213679.570000000,1782488957695917,vicon_state_data,ball,1,0,1.871620198,-0.190236022,1.377525073,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821291339,-0.460427248,0.819232984,0.000000000,0.000000000,0.002435141,0.999997035,1,session_011_live_view_new_lcm.csv,415
1782488957.762593508,57.752008915,414,64103872,64103872,213679.573333333,1782488957699127,vicon_state_data,ball,1,0,1.858381203,-0.192965167,1.376813061,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821303559,-0.460457167,0.819229596,0.000000000,0.000000000,0.002542797,0.999996767,1,session_011_live_view_new_lcm.csv,416
1782488957.765235662,57.754651070,415,64103873,64103873,213679.576666667,1782488957702839,vicon_state_data,ball,1,0,1.845202822,-0.194905734,1.376309798,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821300672,-0.460448674,0.819245739,0.000000000,0.000000000,0.002476004,0.999996935,1,session_011_live_view_new_lcm.csv,417
1782488957.767888546,57.757303953,416,64103874,64103874,213679.580000000,1782488957706067,vicon_state_data,ball,1,0,1.831731309,-0.198525671,1.375343012,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821302729,-0.460416307,0.819236962,0.000000000,0.000000000,0.002448622,0.999997002,1,session_011_live_view_new_lcm.csv,418
1782488957.770518780,57.759934187,417,64103875,64103875,213679.583333333,1782488957709287,vicon_state_data,ball,1,0,1.818311320,-0.200893301,1.374334999,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821300979,-0.460444716,0.819237999,0.000000000,0.000000000,0.002383709,0.999997159,1,session_011_live_view_new_lcm.csv,419
1782488957.773247957,57.762663364,418,64103876,64103876,213679.586666667,1782488957712480,vicon_state_data,ball,1,0,1.804928791,-0.203182647,1.373033612,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821297392,-0.460452506,0.819232177,0.000000000,0.000000000,0.002511224,0.999996847,1,session_011_live_view_new_lcm.csv,420
1782488957.775926352,57.765341759,419,64103887,64103887,213679.623333333,1782488957749385,vicon_state_data,ball,1,0,1.659448402,-0.228974280,1.350180382,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821304361,-0.460461815,0.819258768,0.000000000,0.000000000,0.002507472,0.999996856,1,session_011_live_view_new_lcm.csv,421
