host_time_s,elapsed_s,row_index,frame_number,vicon_frame_number,vicon_time_s,publish_time_us,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw
1782672357.723408937,181988.362852335,24299814,119123628,119123628,397078.760000000,1782672357653959,vicon_state_data,ball,1,0,3.104026280,0.197081822,1.224850376,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.410093970,0.068497596,0.753767954,0.000000000,0.000000000,0.051328856,0.998681805
1782672357.734076977,181988.373520374,24299815,119123629,119123629,397078.763333333,1782672357657217,vicon_state_data,ball,1,0,3.103882740,0.197042067,1.225219704,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.410109251,0.068503128,0.753755079,0.000000000,0.000000000,0.051195814,0.998688634
1782672357.744948626,181988.384392023,24299816,119123630,119123630,397078.766666667,1782672357660906,vicon_state_data,ball,1,0,3.103729947,0.196988759,1.225574424,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.410095928,0.068484055,0.753767247,0.000000000,0.000000000,0.051187488,0.998689061
1782672357.754797935,181988.394241333,24299817,119123631,119123631,397078.770000000,1782672357663882,vicon_state_data,ball,1,0,3.103534615,0.196960083,1.225973491,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.410098480,0.068490947,0.753764144,0.000000000,0.000000000,0.051251086,0.998685800
1782672357.764303684,181988.403747082,24299818,119123632,119123632,397078.773333333,1782672357667228,vicon_state_data,ball,1,0,3.103323158,0.196884046,1.226378463,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.410092044,0.068484471,0.753774339,0.000000000,0.000000000,0.051290989,0.998683751
1782672357.774078608,181988.413522005,24299819,119123635,119123635,397078.783333333,1782672357677801,vicon_state_data,ball,1,0,3.102575768,0.196640303,1.227608424,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.410101310,0.068505461,0.753771733,0.000000000,0.000000000,0.051266427,0.998685012
1782672357.784288168,181988.423731565,24299820,119123638,119123638,397078.793333333,1782672357687285,vicon_state_data,ball,1,0,3.101414263,0.196493161,1.228882104,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.410110844,0.068497309,0.753754975,0.000000000,0.000000000,0.051140559,0.998691465
1782672357.794629574,181988.434072971,24299821,119123640,119123640,397078.800000000,1782672357694848,vicon_state_data,ball,1,0,3.100389664,0.196367546,1.229821789,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.410097527,0.068502267,0.753761719,0.000000000,0.000000000,0.051234796,0.998686635
1782672357.804348946,181988.443792343,24299822,119123646,119123646,397078.820000000,1782672357713941,vicon_state_data,ball,1,0,3.096056970,0.196365794,1.232812912,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.410104749,0.068503041,0.753773830,0.000000000,0.000000000,0.051311367,0.998682704
1782672357.814181328,181988.453624725,24299823,119123649,119123649,397078.830000000,1782672357724061,vicon_state_data,ball,1,0,3.093275188,0.196388201,1.234415022,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.410090392,0.068487844,0.753766867,0.000000000,0.000000000,0.051331279,0.998681681
