phase,start_step,end_step,n,mean_error,equiv_deg_from_mean_error,point_deg_mean,point_deg_std,mean_ori_reward
0-499,0,499,500,0.09583592380583286,25.289067548150307,22.83861192299271,12.096710868207552,0.6795477165263146
500-999,500,999,500,0.035177171550691125,15.242264154807035,15.223821011463635,0.7589303580823396,1.0001549986600875
1000-1499,1000,1499,500,0.038144458927214145,15.876092129313403,15.870884046851671,0.4119292817203693,0.9981365593671798
1500-1999,1500,1999,500,0.048417198188602927,17.902162669205804,17.8793885920128,0.9176843968118122,0.9879958760738373
2000-2499,2000,2499,500,0.05795859045535326,19.602740033004164,19.600839065674887,0.2785057881512485,0.9787503175735474
2500-2999,2500,2999,500,0.05472416186332703,19.042672504239622,19.03879728303563,0.39152312166645564,0.9819083498716354
3000-3499,3000,3499,500,0.052152044422924516,18.585705652170105,18.582957149043906,0.32547760331909364,0.9841993070840835
3500-3999,3500,3999,500,0.05272407854348421,18.688265460482334,18.68664923709676,0.25029701628539136,0.9832225416898728
4000-4499,4000,4499,500,0.053416006065905096,18.811600257713323,18.810121321511996,0.24028257940680656,0.9828314819335937
4500-4999,4500,4999,500,0.06265113198757172,20.389004150011726,20.382486074410554,0.5266757144393838,0.9729995871782303
5000-5499,5000,5499,500,0.06602726194262505,20.937187618410608,20.932907001610687,0.43332093266618005,0.9716823716163635
5500-5999,5500,5999,500,0.06654138875752688,21.019467177889673,21.0149266812763,0.44698753243470446,0.9732434496879577
6000-6499,6000,6499,500,0.06508124790340662,20.784977241946446,20.780001126435828,0.46529820528380006,0.9753225611448288
6500-6999,6500,6999,500,0.06340845888853074,20.513190400863373,20.509870770514294,0.3772430202471728,0.9776772704124451
7000-7499,7000,7499,500,0.06224865624308586,20.32271070737698,20.31829315228373,0.43310312195756556,0.978948872923851
7500-7999,7500,7999,500,0.060652802042663094,20.05778575139777,20.053052145833753,0.4450356680267152,0.980877765417099
8000-8499,8000,8499,500,0.060479223236441615,20.028767753399322,20.02214834878422,0.5259579844390704,0.9808783630132675
8500-8623,8500,8623,124,0.059952720639205745,19.94050212295455,19.939293586702583,0.22414713455887614,0.9817202917991146
