aligned_peak_error_frames,aligned_peak_frame,aligned_strike_speed_mps,applied_shift_frames,class,copied_unchanged,edge_hold_end_frames,edge_hold_start_frames,fps,frames,output,source,source_peak_frame,source_peak_speed_mps,source_strike_speed_mps,target_frame
,,,,forehand,True,,,50.0,94,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260609_backhand_strike43_aligned/forehand/forehand_manual_012_2364242d_1.465_3.840_50fps__unitree_g1.npz,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_012_2364242d_1.465_3.840_50fps__unitree_g1.npz,,,,
,,,,forehand,True,,,50.0,94,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260609_backhand_strike43_aligned/forehand/forehand_manual_013_40fd40cf_17.125_19.944_50fps__unitree_g1.npz,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_013_40fd40cf_17.125_19.944_50fps__unitree_g1.npz,,,,
,,,,forehand,True,,,50.0,94,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260609_backhand_strike43_aligned/forehand/forehand_manual_015_b06277d3_9.608_12.172_50fps__unitree_g1.npz,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_015_b06277d3_9.608_12.172_50fps__unitree_g1.npz,,,,
,,,,forehand,True,,,50.0,94,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260609_backhand_strike43_aligned/forehand/forehand_manual_016_b06277d3_21.417_24.637_50fps__unitree_g1.npz,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_016_b06277d3_21.417_24.637_50fps__unitree_g1.npz,,,,
,,,,forehand,True,,,50.0,94,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260609_backhand_strike43_aligned/forehand/forehand_manual_017_bf8b587b_14.926_16.483_expanded_14.764_16.645_50fps__unitree_g1.npz,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_017_bf8b587b_14.926_16.483_expanded_14.764_16.645_50fps__unitree_g1.npz,,,,
,,,,forehand,True,,,50.0,94,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260609_backhand_strike43_aligned/forehand/forehand_manual_018_bf8b587b_16.602_17.794_expanded_16.258_18.138_50fps__unitree_g1.npz,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_018_bf8b587b_16.602_17.794_expanded_16.258_18.138_50fps__unitree_g1.npz,,,,
,,,,forehand,True,,,50.0,94,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260609_backhand_strike43_aligned/forehand/forehand_manual_019_c4ef15be_16.902_18.545_expanded_16.784_18.663_50fps__unitree_g1.npz,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/forehand/forehand_manual_019_c4ef15be_16.902_18.545_expanded_16.784_18.663_50fps__unitree_g1.npz,,,,
0,43,2.4870696233842944,23,backhand,False,0,24,50.0,94,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260609_backhand_strike43_aligned/backhand/backhand_manual_005_cb108680_26.000_27.203_strike43_94f_50fps__unitree_g1.npz,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/backhand/backhand_manual_005_cb108680_26.000_27.203_strike43_94f_50fps__unitree_g1.npz,20,2.4870696233842944,0.6289178330033719,43
0,43,2.577776349041506,12,backhand,False,0,13,50.0,94,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260609_backhand_strike43_aligned/backhand/backhand_manual_006_cb108680_27.200_29.000_strike43_94f_50fps__unitree_g1.npz,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/backhand/backhand_manual_006_cb108680_27.200_29.000_strike43_94f_50fps__unitree_g1.npz,31,2.577776349041506,0.40133220012813503,43
0,43,2.4080902894335807,26,backhand,False,0,27,50.0,94,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260609_backhand_strike43_aligned/backhand/backhand_manual_007_cb108680_29.000_30.500_strike43_94f_50fps__unitree_g1.npz,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/backhand/backhand_manual_007_cb108680_29.000_30.500_strike43_94f_50fps__unitree_g1.npz,17,2.4080902894335807,0.6120317512222153,43
0,43,2.8140474315058475,26,backhand,False,0,27,50.0,94,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260609_backhand_strike43_aligned/backhand/backhand_manual_008_cb108680_30.500_31.800_strike43_94f_50fps__unitree_g1.npz,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/backhand/backhand_manual_008_cb108680_30.500_31.800_strike43_94f_50fps__unitree_g1.npz,17,2.8140474315058475,0.9042403925033515,43
0,43,2.499627695712864,30,backhand,False,0,31,50.0,94,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260609_backhand_strike43_aligned/backhand/backhand_manual_009_cb108680_32.000_33.500_strike43_94f_50fps__unitree_g1.npz,data/hitter_motions/hitter_mix_oldiphone_newwechat_20260608_strike43/backhand/backhand_manual_009_cb108680_32.000_33.500_strike43_94f_50fps__unitree_g1.npz,13,2.499627695712864,1.2692355475308457,43
