source_bvh,output_npz,frames,source_fps,output_fps,ground_shift_z,skipped_existing
/home/sijie/Downloads/bvh1h/DC131_dzy_dir_dzy.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/DC131_dzy_dir_dzy__unitree_g1.npz,5448,100.0,30.0,-0.003914935514330864,False
/home/sijie/Downloads/bvh1h/DC131_dzy_dra_dzy.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/DC131_dzy_dra_dzy__unitree_g1.npz,6542,100.0,30.0,0.00045475736260414124,False
/home/sijie/Downloads/bvh1h/DC131_dzy_hip_dzy.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/DC131_dzy_hip_dzy__unitree_g1.npz,6047,100.0,30.0,-0.02732843905687332,False
/home/sijie/Downloads/bvh1h/DC131_dzy_ill_dzy.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/DC131_dzy_ill_dzy__unitree_g1.npz,5938,100.0,30.0,-0.023894261568784714,False
/home/sijie/Downloads/bvh1h/DC131_dzy_whi_dzy.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/DC131_dzy_whi_dzy__unitree_g1.npz,5542,100.0,30.0,0.0021118363365530968,False
/home/sijie/Downloads/bvh1h/GF001_XXX_yjf.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/GF001_XXX_yjf__unitree_g1.npz,700,100.0,30.0,-0.10869824141263962,False
/home/sijie/Downloads/bvh1h/GF022_XXX_yjf.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/GF022_XXX_yjf__unitree_g1.npz,614,100.0,30.0,-0.09523056447505951,False
/home/sijie/Downloads/bvh1h/GF023_XXX_yjf.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/GF023_XXX_yjf__unitree_g1.npz,703,100.0,30.0,-0.09035595506429672,False
/home/sijie/Downloads/bvh1h/GF024_XXX_yjf.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/GF024_XXX_yjf__unitree_g1.npz,750,100.0,30.0,-0.0991651713848114,False
/home/sijie/Downloads/bvh1h/GF025_XXX_yjf.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/GF025_XXX_yjf__unitree_g1.npz,718,100.0,30.0,-0.07429137080907822,False
